ServerTimestampISO,ServerTimestamp,ParticipantID,Condition,Handedness,TrialID,TargetGesture,TargetID,EventType,EventData,ClientTimestamp
2026-01-19T00:53:49.955273+09:00,1768751629955,debug-SS05,Proposed,R,None,None,-1,system,"{""action"": ""test_configured"", ""trials"": [1, 5, 6, 3, 6, 7, 7, 5, 0, 0]}",1768751629955
2026-01-19T00:53:49.996886+09:00,1768751629996,debug-SS05,Proposed,R,1,Fist,1,system,"{""action"": ""test_start_click"", ""participant_id"": ""debug-SS05"", ""condition"": ""Proposed""}",1768751629984
2026-01-19T00:53:54.438457+09:00,1768751634438,debug-SS05,Proposed,R,1,Fist,1,state_input,"{""T"": ""OPEN"", ""I"": ""TOUCH"", ""M"": ""OPEN"", ""R"": ""OPEN"", ""P"": ""OPEN""}",1768751634438
2026-01-19T00:53:54.440447+09:00,1768751634440,debug-SS05,Proposed,R,1,Fist,1,state_input,"{""T"": ""OPEN"", ""I"": ""TOUCH"", ""M"": ""TOUCH"", ""R"": ""TOUCH"", ""P"": ""OPEN""}",1768751634440
2026-01-19T00:53:54.790025+09:00,1768751634790,debug-SS05,Proposed,R,1,Fist,1,state_input,"{""T"": ""OPEN"", ""I"": ""TOUCH"", ""M"": ""OPEN"", ""R"": ""TOUCH"", ""P"": ""OPEN""}",1768751634790
2026-01-19T00:53:54.801313+09:00,1768751634801,debug-SS05,Proposed,R,1,Fist,1,state_input,"{""T"": ""OPEN"", ""I"": ""OPEN"", ""M"": ""OPEN"", ""R"": ""OPEN"", ""P"": ""OPEN""}",1768751634801
2026-01-19T00:53:54.806931+09:00,1768751634806,debug-SS05,Proposed,R,1,Fist,1,state_change,"{""from"": ""WAIT_HAND_OPEN"", ""to"": ""COUNTDOWN""}",1768751634806
2026-01-19T00:53:57.818660+09:00,1768751637818,debug-SS05,Proposed,R,1,Fist,1,system,"{""action"": ""stimulus_rendered_on_client"", ""trial_id"": 1}",1768751637801
2026-01-19T00:53:58.711815+09:00,1768751638711,debug-SS05,Proposed,R,1,Fist,1,state_input,"{""T"": ""OPEN"", ""I"": ""OPEN"", ""M"": ""OPEN"", ""R"": ""CLOSE"", ""P"": ""OPEN""}",1768751638711
2026-01-19T00:53:58.714091+09:00,1768751638714,debug-SS05,Proposed,R,1,Fist,1,state_input,"{""T"": ""CLOSE"", ""I"": ""CLOSE"", ""M"": ""CLOSE"", ""R"": ""CLOSE"", ""P"": ""CLOSE""}",1768751638714
2026-01-19T00:53:59.671956+09:00,1768751639671,debug-SS05,Proposed,R,1,Fist,1,state_input,"{""T"": ""TOUCH"", ""I"": ""TOUCH"", ""M"": ""TOUCH"", ""R"": ""CLOSE"", ""P"": ""CLOSE""}",1768751639671
2026-01-19T00:53:59.672709+09:00,1768751639672,debug-SS05,Proposed,R,1,Fist,1,state_input,"{""T"": ""TOUCH"", ""I"": ""TOUCH"", ""M"": ""TOUCH"", ""R"": ""TOUCH"", ""P"": ""OPEN""}",1768751639672
2026-01-19T00:53:59.731086+09:00,1768751639731,debug-SS05,Proposed,R,1,Fist,1,state_input,"{""T"": ""OPEN"", ""I"": ""OPEN"", ""M"": ""OPEN"", ""R"": ""OPEN"", ""P"": ""OPEN""}",1768751639731
2026-01-19T00:53:59.735351+09:00,1768751639735,debug-SS05,Proposed,R,1,Fist,1,state_change,"{""from"": ""MEASURING"", ""to"": ""NEXT_TRIAL"", ""rt_ms"": 893.3682441711426}",1768751639735
2026-01-19T00:53:59.737161+09:00,1768751639737,debug-SS05,Proposed,R,1,Fist,1,state_change,"{""from"": ""MEASURING"", ""to"": ""NEXT_TRIAL"", ""rt_ms"": 893.3682441711426}",1768751639737
2026-01-19T00:54:01.958653+09:00,1768751641958,debug-SS05,Proposed,R,3,Gun,6,state_input,"{""T"": ""OPEN"", ""I"": ""OPEN"", ""M"": ""TOUCH"", ""R"": ""OPEN"", ""P"": ""OPEN""}",1768751641958
2026-01-19T00:54:01.957824+09:00,1768751641957,debug-SS05,Proposed,R,3,Gun,6,state_input,"{""T"": ""OPEN"", ""I"": ""TOUCH"", ""M"": ""TOUCH"", ""R"": ""OPEN"", ""P"": ""OPEN""}",1768751641957
2026-01-19T00:54:02.030590+09:00,1768751642030,debug-SS05,Proposed,R,3,Gun,6,state_input,"{""T"": ""OPEN"", ""I"": ""TOUCH"", ""M"": ""OPEN"", ""R"": ""OPEN"", ""P"": ""OPEN""}",1768751642030
2026-01-19T00:54:02.075203+09:00,1768751642075,debug-SS05,Proposed,R,3,Gun,6,state_input,"{""T"": ""OPEN"", ""I"": ""OPEN"", ""M"": ""OPEN"", ""R"": ""OPEN"", ""P"": ""OPEN""}",1768751642075
2026-01-19T00:54:02.079110+09:00,1768751642079,debug-SS05,Proposed,R,3,Gun,6,state_change,"{""from"": ""WAIT_HAND_OPEN"", ""to"": ""COUNTDOWN""}",1768751642079
2026-01-19T00:54:05.092572+09:00,1768751645092,debug-SS05,Proposed,R,3,Gun,6,system,"{""action"": ""stimulus_rendered_on_client"", ""trial_id"": 3}",1768751645064
2026-01-19T00:54:06.157085+09:00,1768751646157,debug-SS05,Proposed,R,3,Gun,6,state_input,"{""T"": ""OPEN"", ""I"": ""OPEN"", ""M"": ""CLOSE"", ""R"": ""OPEN"", ""P"": ""OPEN""}",1768751646157
2026-01-19T00:54:06.174684+09:00,1768751646174,debug-SS05,Proposed,R,3,Gun,6,state_input,"{""T"": ""OPEN"", ""I"": ""OPEN"", ""M"": ""CLOSE"", ""R"": ""CLOSE"", ""P"": ""CLOSE""}",1768751646174
2026-01-19T00:54:07.114000+09:00,1768751647113,debug-SS05,Proposed,R,3,Gun,6,state_input,"{""T"": ""OPEN"", ""I"": ""OPEN"", ""M"": ""TOUCH"", ""R"": ""OPEN"", ""P"": ""TOUCH""}",1768751647113
2026-01-19T00:54:07.113069+09:00,1768751647113,debug-SS05,Proposed,R,3,Gun,6,state_input,"{""T"": ""OPEN"", ""I"": ""OPEN"", ""M"": ""CLOSE"", ""R"": ""TOUCH"", ""P"": ""CLOSE""}",1768751647113
2026-01-19T00:54:07.172838+09:00,1768751647172,debug-SS05,Proposed,R,3,Gun,6,state_input,"{""T"": ""OPEN"", ""I"": ""OPEN"", ""M"": ""OPEN"", ""R"": ""OPEN"", ""P"": ""OPEN""}",1768751647172
2026-01-19T00:54:07.224650+09:00,1768751647224,debug-SS05,Proposed,R,3,Gun,6,state_change,"{""from"": ""MEASURING"", ""to"": ""NEXT_TRIAL"", ""rt_ms"": 1084.1281414031982}",1768751647224
2026-01-19T00:54:07.972515+09:00,1768751647972,debug-SS05,Proposed,R,4,FingerPoint,3,state_input,"{""T"": ""OPEN"", ""I"": ""OPEN"", ""M"": ""TOUCH"", ""R"": ""OPEN"", ""P"": ""OPEN""}",1768751647972
