ParticipantID,Condition,Handedness,TrialID,PhraseID,TargetPhrase,InputPhrase,TargetCharCount,InputCharCount,DurationSec,ActiveDurationSec,LevenshteinDist,TotalKeystrokes,WPM,ActiveWPM,MeanWordWPM,CER,KSPC,BackspaceCount
AM04,Proposed,R,1,427,knee bone is connected to the thigh bone,knee bone is connected to the thigh bone,40,40,60.374,53.378,0,83,7.751681187266041,8.767657087189479,15.061377620216868,0.0,2.075,9
AM04,Proposed,R,2,426,quit while you are ahead,quit while you are ahead,24,24,17.441,15.23,0,31,15.824780689180667,18.122127380170713,16.52018103966963,0.0,1.2916666666666667,1
AM04,Proposed,R,3,348,the fire blazed all weekend,the fire glazed blazed all seeked weekend,27,41,39.868,35.054,14,51,12.039731112671817,13.693159125920008,15.185807067111993,0.5185185185185185,1.2439024390243902,4
AM04,Proposed,R,4,283,bank transaction was not registered,bank transaction was not registered,35,35,18.566,16.958,0,36,21.975654422061833,24.059440971812716,19.46742306539655,0.0,1.0285714285714285,0
AM04,Proposed,R,5,239,you will loose your voice,you will loose your voice,25,25,13.92,12.355,0,28,20.68965517241379,23.310400647511127,21.76042517277856,0.0,1.12,0
AM04,Proposed,R,6,243,this system of taxation,this system of taxation,23,23,29.742,28.149,0,44,8.876336493847084,9.378663540445487,11.872783800507609,0.0,1.9130434782608696,9
AM04,Proposed,R,7,240,every apple from every tree,every apple from every tree,27,27,14.968,12.957000000000003,0,28,20.84446819882416,24.0796480666821,18.783555366561767,0.0,1.037037037037037,0
AM04,Proposed,R,8,330,do not feel too bad about it,do not feel too bad about it,28,28,21.446,16.999000000000002,0,33,15.107712393919611,19.059944702629565,13.486139571815892,0.0,1.1785714285714286,0
AM04,Proposed,R,9,34,do not say anything,do not say anything,19,19,12.822,11.620999999999999,0,26,16.846045858680395,18.587040702177095,17.08734578114863,0.0,1.368421052631579,1
AM04,Proposed,R,10,457,learn to walk before you run,learn to walk before you tuum run,28,33,16.168,12.983,5,37,23.750618505690255,29.57713933605484,21.178335889195846,0.17857142857142858,1.121212121212121,1
AM04,Proposed,R,11,231,a little encouragement is needed,a little encouragement is needed,32,32,16.633,15.059000000000001,0,33,22.36517765887092,24.702835513646324,18.08748943775758,0.0,1.03125,0
AM04,Proposed,R,12,308,pay off a mortgage for a house,pay off a mortgage for a house,30,30,32.099,28.257000000000005,0,59,10.841459235490204,12.315532434441021,14.671957365197061,0.0,1.9666666666666666,13
AM04,Proposed,R,13,281,interesting observation was made,interesting observation was made,32,32,13.287,12.254999999999999,0,33,27.997290584782117,30.35495716034272,24.933927641578975,0.0,1.03125,0
AM04,Proposed,R,14,367,electric cars need big fuel cells,electric cars need big fuel cells,33,33,17.606,15.529,0,38,21.8107463364762,24.727928392040702,21.49998750660539,0.0,1.1515151515151516,0
AM04,Proposed,R,15,287,our silver anniversary is coming,our silver anniversary is coming,32,32,15.346,14.143,0,35,24.240844519744563,26.302764618539204,22.19224044520022,0.0,1.09375,0
AM04,Proposed,R,16,60,I took the rover from the shop,i took the rover from the shop,30,30,16.423,14.281,0,37,21.189794799975644,24.368041453679712,19.92744603312816,0.0,1.2333333333333334,0
AM04,Proposed,R,17,449,taking the train is usually faster,by taking the train is usually faster,34,37,20.306,17.231,3,52,21.274500147739584,25.071092797864313,21.48010179188154,0.08823529411764706,1.4054054054054055,7
AM04,Proposed,R,18,107,the early bird gets the worm,the early bird gets the worm,28,28,22.152,19.461,0,47,14.626218851570965,16.648681979343305,19.36270238193823,0.0,1.6785714285714286,6
AM04,Proposed,R,19,294,historic meeting without a result,historic meeting without a result,33,33,24.343,22.625,0,46,15.774555313642526,16.972375690607738,22.273068327335583,0.0,1.393939393939394,6
AM04,Proposed,R,20,356,these barracks are big enough,these barracks are big enough,29,29,35.395,33.558,0,52,9.492866224042942,10.012515644555693,17.726752379166307,0.0,1.793103448275862,5
