ParticipantID,Condition,Handedness,TrialID,PhraseID,TargetPhrase,InputPhrase,TargetCharCount,InputCharCount,DurationSec,LevenshteinDist,TotalKeystrokes,WPM,CER,KSPC,BackspaceCount
AM04,Controller,R,1,470,the biggest hamburger I have ever seen,the biggest hamburger i have ever seen,38,38,38.01242,0,43,11.6803928821159,0.0,1.131578947368421,0
AM04,Controller,R,2,302,a very traditional way to dress,a very traditional way to dress,31,31,38.899129,0,36,9.254705934418222,0.0,1.1612903225806452,0
AM04,Controller,R,3,485,staying up all night is a bad idea,staying up all night is bad idea a bad idea,34,43,47.566025,9,50,10.595798156352144,0.2647058823529412,1.1627906976744187,3
AM04,Controller,R,4,420,the accident scene is a shrine for fans,the accident scene is a shrine for fans,39,39,37.879168,0,40,12.038279193460637,0.0,1.0256410256410255,0
AM04,Controller,R,5,267,it looks like a shack,if it looks like a shack,21,24,32.592161,3,30,8.468293955715302,0.14285714285714285,1.25,1
AM04,Controller,R,6,62,come and see our new car,come and see out our new car,24,28,32.585135,4,38,9.943184215747458,0.16666666666666666,1.3571428571428572,2
AM04,Controller,R,7,377,saving that child was an heroic effort,saving that child was an heroic effort,38,38,39.290494,0,41,11.30044330824652,0.0,1.0789473684210527,0
AM04,Controller,R,8,168,I skimmed through your proposal,i skimmed through your proposal,31,31,39.336692,0,34,9.151760905568775,0.0,1.096774193548387,0
AM04,Controller,R,9,482,please try to be home before midnight,please try to be home before midnight,37,37,50.162448,0,50,8.612019891852169,0.0,1.3513513513513513,3
AM04,Controller,R,10,218,where can my little dog be,where can my little dog be,26,26,42.017903,0,57,7.139813712264508,0.0,2.1923076923076925,5
AM04,Controller,R,11,465,gun powder must be handled with care,gun powder must be handled with care,36,36,41.421532,0,51,10.139653936508191,0.0,1.4166666666666667,1
AM04,Controller,R,12,339,vote according to your conscience,vote according to your conscience,33,33,36.503254,0,34,10.519610114758539,0.0,1.0303030303030303,0
AM04,Controller,R,13,301,the minimum amount of time,the minimum amount of time,26,26,29.970104,0,35,10.00997527402641,0.0,1.3461538461538463,3
AM04,Controller,R,14,239,you will loose your voice,you will loose your voice,25,25,22.100774,0,30,13.031217820697139,0.0,1.2,1
AM04,Controller,R,15,114,teaching services will help,teaching services will help,27,27,23.876476,0,32,13.06725498352437,0.0,1.1851851851851851,2
AM04,Controller,R,16,224,universally understood to be wrong,universally understood to be wrong,34,34,30.916325,0,41,12.80876688933759,0.0,1.2058823529411764,1
AM04,Controller,R,17,486,you are a capitalist pig,you are a capitalist pit pig,24,28,26.824068,4,34,12.078704840742278,0.16666666666666666,1.2142857142857142,1
AM04,Controller,R,18,256,an airport is a very busy place,an airport is a very busy place,31,31,29.545218,0,42,12.184712937301732,0.0,1.3548387096774193,0
AM04,Controller,R,19,5,physics and chemistry are hard,physics and chemistry are hard,30,30,20.423524,0,35,17.039175021901215,0.0,1.1666666666666667,0
AM04,Controller,R,20,295,very reluctant to enter,very reluctant to enter,23,23,21.98338,0,28,12.00907230826197,0.0,1.2173913043478262,0
