ParticipantID,Condition,Handedness,TrialID,PhraseID,TargetPhrase,InputPhrase,TargetCharCount,InputCharCount,DurationSec,ActiveDurationSec,LevenshteinDist,TotalKeystrokes,WPM,ActiveWPM,MeanWordWPM,CER,KSPC,BackspaceCount
CS10,Controller,R,1,294,historic meeting without a result,historic meeting without a result,33,33,31.693,25.819000000000003,0,38,12.116240179219387,14.872768116503348,10.483905687886061,0.0,1.1515151515151516,2
CS10,Controller,R,2,184,I can still feel your presence,i day day can still feel your presence,30,38,46.9,34.652,8,51,9.466950959488274,12.813113240217016,9.881728974516733,0.26666666666666666,1.3421052631578947,3
CS10,Controller,R,3,154,lydia wants to go home,lydia wants to to go home,22,25,32.398,24.486000000000004,3,37,8.889437619606147,11.761823082577797,9.132717151906006,0.13636363636363635,1.48,5
CS10,Controller,R,4,43,Valium in the economy size,valium in the economy size,26,26,28.789,19.863,0,33,10.420646774809823,15.103458692040476,11.213942273611854,0.0,1.2692307692307692,3
CS10,Controller,R,5,242,the fourth edition was better,the fourth edition was better,29,29,27.151,20.094,0,31,12.375234797981657,16.721409375933113,12.553627912637186,0.0,1.0689655172413792,0
CS10,Controller,R,6,137,a duck quacks to ask for food,a duck amacus quacks to ask for role food,29,41,50.552,30.860999999999997,12,50,9.495173286912486,15.55361135413629,9.284389675040211,0.41379310344827586,1.2195121951219512,2
CS10,Controller,R,7,351,the rationale behind the decision,the rationale behind the decision,33,33,35.61,28.403999999999996,0,36,10.783487784330244,13.519222644697933,12.943099486178529,0.0,1.0909090909090908,1
CS10,Controller,R,8,386,important for political parties,important for political parties,31,31,33.873,27.014,0,40,10.627933752546276,13.326423336047975,11.515017195415517,0.0,1.2903225806451613,4
CS10,Controller,R,9,286,house with new electrical panel,house with yes with new electrical panel,31,40,49.72,34.704,9,51,9.412711182622687,13.485477178423235,9.734681912095763,0.2903225806451613,1.275,5
CS10,Controller,R,10,241,are you sure you want this,are non non you sure you want this,26,34,43.149,30.442,8,51,9.177501216714175,13.008343735628408,9.041021709948057,0.3076923076923077,1.5,5
CS10,Controller,R,11,220,not quite so smart as you think,not quite so smart as you think,31,31,32.65,24.056,0,40,11.0260336906585,14.965081476554705,10.785693612070345,0.0,1.2903225806451613,2
CS10,Controller,R,12,499,the picket line gives me the chills,the picket line gives me the chills,35,35,56.163,40.582,0,58,7.264569200363229,10.053718397319008,8.967167924575339,0.0,1.6571428571428573,9
CS10,Controller,R,13,144,want to join us for lunch,sang want to join us for lunch,25,30,35.76,25.404,5,45,9.731543624161073,13.698630136986301,9.685220746089518,0.2,1.5,6
CS10,Controller,R,14,463,apartments are too expensive,apartments are too expensive,28,28,26.303,18.582,0,31,12.317986541459149,17.43622860833064,12.780575099766901,0.0,1.1071428571428572,0
CS10,Controller,R,15,88,frequently asked questions,frequently asked questions,26,26,34.665,28.124999999999996,0,31,8.654262224145391,10.666666666666668,10.59706142184994,0.0,1.1923076923076923,2
CS10,Controller,R,16,333,he called seven times,he called seven times,21,21,25.513,20.423000000000002,0,30,9.406968996198016,11.751456690985652,10.960915149081503,0.0,1.4285714285714286,4
CS10,Controller,R,17,344,the algorithm is too complicated,the algorithm is too complicated,32,32,49.22,39.223,0,55,7.5579032913449815,9.484231190882902,8.958075166388422,0.0,1.71875,3
CS10,Controller,R,18,44,the facts get in the way,the facts get in the way,24,24,28.303,19.095,0,33,9.751616436420166,14.454045561665357,10.11220600587628,0.0,1.375,2
CS10,Controller,R,19,389,one never takes too many precautions,one meter never takes vol too many precautions,36,46,59.788,41.082,10,59,9.03191275841306,13.144442821673726,8.437517439244402,0.2777777777777778,1.2826086956521738,5
CS10,Controller,R,20,103,reading week is just about here,reading week is just about here,31,31,33.163,21.205000000000002,0,36,10.85547145915629,16.9771280358406,10.485565555377894,0.0,1.1612903225806452,2
