ParticipantID,Condition,Handedness,TrialID,PhraseID,TargetPhrase,InputPhrase,TargetCharCount,InputCharCount,DurationSec,LevenshteinDist,TotalKeystrokes,WPM,CER,KSPC,BackspaceCount
CS10,Proposed,R,1,451,be persistent to win a strike,be presiwte persistent to win a strike,29,38,116.487423,9,208,3.8115702842872574,0.3103448275862069,5.473684210526316,43
CS10,Proposed,R,2,97,have a good weekend,have a good weekend,19,19,24.524564,0,74,8.807496027248435,0.0,3.8947368421052633,5
CS10,Proposed,R,3,222,this person is a disaster,this person is a disa disaster,25,30,39.947421,5,102,8.711450984532894,0.2,3.4,6
CS10,Proposed,R,4,485,staying up all night is a bad idea,staying up all night is a bad idea,34,34,45.883203,0,121,8.630609332134027,0.0,3.5588235294117645,2
CS10,Proposed,R,5,364,two or three cups of coffee,two or three cups of coffee,27,27,58.537787,0,74,5.329890588450158,0.0,2.740740740740741,19
CS10,Proposed,R,6,140,the sun rises in the east,the sun rises in the east,25,25,17.623719,0,30,16.341613254273966,0.0,1.2,0
CS10,Proposed,R,7,276,well connected with people,well connected with people,26,26,29.592721,0,47,10.137628101180692,0.0,1.8076923076923077,10
CS10,Proposed,R,8,306,there are winners and losers,buds there are winners and losers,28,33,25.799786,5,47,14.883844385375909,0.17857142857142858,1.4242424242424243,7
CS10,Proposed,R,9,228,the protesters blocked all traffic,the protesters blocked all traffic,34,34,52.574257,0,81,7.532203450825753,0.0,2.3823529411764706,22
CS10,Proposed,R,10,446,wishful thinking is fine,wishful thinking is run fine,24,28,21.397318,4,38,15.142084629484875,0.16666666666666666,1.3571428571428572,4
CS10,Proposed,R,11,332,construction makes traveling difficult,construction makes traveling difficult,38,38,37.839798,0,61,11.733677859485402,0.0,1.605263157894737,11
CS10,Proposed,R,12,33,I agree with you,i agree with you,16,16,13.988016,0,41,12.868158000391192,0.0,2.5625,1
CS10,Proposed,R,13,355,handicapped persons need consideration,handicapped person persons need consideration,38,45,40.003524,7,79,13.198837182444228,0.18421052631578946,1.7555555555555555,17
CS10,Proposed,R,14,270,this equation is too complicated,this equation too is too complicated,32,36,41.899583,4,62,10.023966109638849,0.125,1.7222222222222223,11
CS10,Proposed,R,15,291,the registration period is over,the registration period is over,31,31,39.937452,0,49,9.014095340884541,0.0,1.5806451612903225,8
CS10,Proposed,R,16,77,we are subjects and must obey,we are subjects and must obey,29,29,33.516846,0,48,10.024809613649207,0.0,1.6551724137931034,6
CS10,Proposed,R,17,56,fish are jumping,fish are jumping,16,16,22.697637,0,37,7.930340942539526,0.0,2.3125,10
CS10,Proposed,R,18,111,world population is growing,world population is growing,27,27,11.710701,0,30,26.642299209927742,0.0,1.1111111111111112,1
CS10,Proposed,R,19,307,there are winners and losers,there are winners and losers,28,28,9.961465,0,29,32.5253363837548,0.0,1.0357142857142858,0
CS10,Proposed,R,20,46,did you have a good time,did you have a good time,24,24,13.609399,0,35,20.280102008913104,0.0,1.4583333333333333,1
