Timestamp,ParticipantID,Condition,Handedness,TrialID,PhraseID,EventType,EventData,ClientTimestamp
2026-01-16T20:38:45.094185+09:00,HW04,Proposed,R,1,368,system,test_started,1768563523269
2026-01-16T20:38:45.094224+09:00,HW04,Proposed,R,1,368,keydown,"{'key': 'f', 'code': 'KeyF'}",1768563524056
2026-01-16T20:38:45.094239+09:00,HW04,Proposed,R,1,368,prediction_update,"{'count': 6, 'top': 'g'}",1768563524095
2026-01-16T20:38:45.094247+09:00,HW04,Proposed,R,1,368,keydown,"{'key': 'u', 'code': 'KeyU'}",1768563524171
2026-01-16T20:38:45.094252+09:00,HW04,Proposed,R,1,368,prediction_update,"{'count': 10, 'top': 'by'}",1768563524196
2026-01-16T20:38:45.094258+09:00,HW04,Proposed,R,1,368,keydown,"{'key': 'd', 'code': 'KeyD'}",1768563524371
2026-01-16T20:38:45.094264+09:00,HW04,Proposed,R,1,368,prediction_update,"{'count': 10, 'top': 'the'}",1768563524397
2026-01-16T20:38:45.094269+09:00,HW04,Proposed,R,1,368,keydown,"{'key': 'Enter', 'code': 'Enter'}",1768563525057
2026-01-16T20:38:45.094275+09:00,HW04,Proposed,R,1,368,confirm,{'word': 'the'},1768563525057
2026-01-16T20:38:48.609888+09:00,HW04,Proposed,R,1,368,keydown,"{'key': 'p', 'code': 'KeyP'}",1768563525327
2026-01-16T20:38:48.609916+09:00,HW04,Proposed,R,1,368,prediction_update,"{'count': 1, 'top': 'p'}",1768563525365
2026-01-16T20:38:48.609923+09:00,HW04,Proposed,R,1,368,keydown,"{'key': 'u', 'code': 'KeyU'}",1768563525581
2026-01-16T20:38:48.609929+09:00,HW04,Proposed,R,1,368,prediction_update,"{'count': 6, 'top': 'pm'}",1768563525605
2026-01-16T20:38:48.609934+09:00,HW04,Proposed,R,1,368,keydown,"{'key': 'Backspace', 'code': 'Backspace'}",1768563526376
2026-01-16T20:38:48.609940+09:00,HW04,Proposed,R,1,368,prediction_update,"{'count': 1, 'top': 'p'}",1768563526427
2026-01-16T20:38:48.609945+09:00,HW04,Proposed,R,1,368,keydown,"{'key': 'o', 'code': 'KeyO'}",1768563526677
2026-01-16T20:38:48.609951+09:00,HW04,Proposed,R,1,368,prediction_update,"{'count': 2, 'top': 'po'}",1768563526705
2026-01-16T20:38:48.609957+09:00,HW04,Proposed,R,1,368,keydown,"{'key': 'u', 'code': 'KeyU'}",1768563526887
2026-01-16T20:38:48.609962+09:00,HW04,Proposed,R,1,368,prediction_update,"{'count': 10, 'top': 'pom'}",1768563527130
2026-01-16T20:38:48.609967+09:00,HW04,Proposed,R,1,368,keydown,"{'key': 'f', 'code': 'KeyF'}",1768563527192
2026-01-16T20:38:48.609972+09:00,HW04,Proposed,R,1,368,prediction_update,"{'count': 10, 'top': 'plug'}",1768563527413
