ParticipantID,Condition,Handedness,TrialID,PhraseID,TargetPhrase,InputPhrase,TargetCharCount,InputCharCount,DurationSec,ActiveDurationSec,LevenshteinDist,TotalKeystrokes,WPM,ActiveWPM,MeanWordWPM,CER,KSPC,BackspaceCount
KM02,Keyboard,R,1,186,a most ridiculous thing,a most ridiculous thing,23,23,19.67,15.658000000000001,0,46,13.421453990849008,16.860390854515263,12.146195127339205,0.0,2.0,0
KM02,Keyboard,R,2,102,this is a very good idea,this is a very good idea,24,24,19.099,15.972,0,36,14.451018377925543,17.280240420736288,15.197877660772294,0.0,1.5,1
KM02,Keyboard,R,3,89,round robin scheduling,round robin scheduling,22,22,14.03,12.905999999999999,0,38,17.961511047754815,19.5258019525802,19.11780804588504,0.0,1.7272727272727273,6
KM02,Keyboard,R,4,320,where did you get such a silly idea,sudre where did you get shen such a silly idea,35,46,41.789,33.385,11,106,12.922060829404867,16.174928860266586,12.602493291771907,0.3142857142857143,2.3043478260869565,14
KM02,Keyboard,R,5,424,for murder you get a long prison sentence,for murder you get a long prison sentence,41,41,22.672,17.776000000000003,0,70,21.171489061397317,27.002700270026995,19.650585706672782,0.0,1.7073170731707317,11
KM02,Keyboard,R,6,192,shall we play a round of cards,shall we play a round or cards cards round or of cards,30,54,44.07,33.013999999999996,24,105,14.43158611300204,19.264554431453327,15.255605965272784,0.8,1.9444444444444444,19
KM02,Keyboard,R,7,304,medieval times were very hard,medieval times were very hat hard,29,33,23.403,20.158,4,76,16.408152800922963,19.049508879849192,17.206510074021764,0.13793103448275862,2.303030303030303,7
KM02,Keyboard,R,8,157,I do not care if you do that,i do not care if you do that,28,28,17.223,13.501999999999999,0,55,18.81205364919004,23.996444971115395,18.743462878856967,0.0,1.9642857142857142,10
KM02,Keyboard,R,9,86,head shoulders knees and toes,head shoulders knees and toes,29,29,27.953,24.859,0,100,12.020176725217329,13.51623154591898,13.113198267228546,0.0,3.4482758620689653,10
KM02,Keyboard,R,10,108,buckle up for safety,buckle up for safety,20,20,16.005,14.038,0,45,14.245548266166823,16.241629861803673,14.09856780242297,0.0,2.25,11
KM02,Keyboard,R,11,170,no more war no more bloodshed,no more war no more bloodshed,29,29,15.118,12.561,0,40,22.22516205847334,26.74946262240267,22.544470138175104,0.0,1.3793103448275863,5
KM02,Keyboard,R,12,347,burglars never leave their business card,burglars never leave their business card,40,40,27.046,23.724,0,68,17.303852695407823,19.726858877086492,17.058979075784162,0.0,1.7,11
KM02,Keyboard,R,13,15,circumstances are unacceptable,circumstances are unacceptable,30,30,22.617,20.351,0,51,15.386656055179731,17.09989681096752,14.780084367307937,0.0,1.7,10
KM02,Keyboard,R,14,287,our silver anniversary is coming,out our silver anniversary is coming,32,36,25.548000000000002,21.972,4,70,16.439643024894316,19.115237575095573,17.349347324091088,0.125,1.9444444444444444,16
KM02,Keyboard,R,15,384,fine but only in moderation,fine but only in moderation,27,27,10.878,8.394,0,34,28.681742967457257,37.16940671908506,24.443508868748186,0.0,1.2592592592592593,2
KM02,Keyboard,R,16,16,watch out for low flying objects,watch out for low flying objects,32,32,14.986,11.421999999999999,0,41,24.82316829040438,32.568727018035375,24.504201285013124,0.0,1.28125,4
KM02,Keyboard,R,17,312,the assault took six months,the assault took six months,27,27,10.729,8.431000000000001,0,30,29.08006337962532,37.00628632427944,28.86104407347478,0.0,1.1111111111111112,0
KM02,Keyboard,R,18,266,this camera takes nice photographs,this camera takes nice photographs,34,34,15.913,12.791,0,47,24.885313894300257,30.959268235478067,26.554696397982532,0.0,1.3823529411764706,4
KM02,Keyboard,R,19,263,file all complaints in writing,file all complaints in writing,30,30,28.957,26.31,0,65,12.01781952550333,13.22690992018244,16.313608014232134,0.0,2.1666666666666665,17
KM02,Keyboard,R,20,298,a thoroughly disgusting thing to say,a thoroughly disgusting thing to say,36,36,18.873,16.067,0,51,22.254013670322685,26.14053650339205,19.52117283504293,0.0,1.4166666666666667,6
