ParticipantID,Condition,Handedness,TrialID,PhraseID,TargetPhrase,InputPhrase,TargetCharCount,InputCharCount,DurationSec,ActiveDurationSec,LevenshteinDist,TotalKeystrokes,WPM,ActiveWPM,MeanWordWPM,CER,KSPC,BackspaceCount
MK08,Proposed,L,1,231,a little encouragement is needed,a little encouragement is needed,32,32,54.677,44.855,0,39,6.803592003950473,8.293389811615205,7.213979124065466,0.0,1.21875,3
MK08,Proposed,L,2,455,that is a very nasty cut,that is a very nasty cut,24,24,41.252,28.474,0,31,6.690584698923688,9.693053311793214,5.326873136652476,0.0,1.2916666666666667,1
MK08,Proposed,L,3,241,are you sure you want this,are you sure you want this,26,26,43.621,33.14,0,35,6.877421425460213,9.052504526252262,6.486451609854463,0.0,1.3461538461538463,1
MK08,Proposed,L,4,180,he cooled off after she left,he cooled off after she left,28,28,37.948,29.022,0,33,8.537999367555603,11.163944593756462,7.910961103937843,0.0,1.1785714285714286,2
MK08,Proposed,L,5,172,I will meet you at noon,i i will meet you at noon,23,25,57.405,36.693000000000005,2,41,5.016984583224458,7.848908511160166,5.017204760213077,0.08695652173913043,1.64,5
MK08,Proposed,L,6,335,a feeling of complete exasperation,a feeling or of complete exasperation,34,37,71.762,60.476,3,49,6.019899110950085,7.143329585290033,7.018062896145469,0.08823529411764706,1.3243243243243243,5
MK08,Proposed,L,7,126,gas bills are sent monthly,gas bills are sent monthly,26,26,47.61,40.058,0,37,6.30119722747322,7.4891407459184185,7.182848141832684,0.0,1.4230769230769231,5
MK08,Proposed,L,8,80,we went grocery shopping,we g went grocery shopping,24,26,48.961,40.809,2,36,6.127325830763261,7.351319561861355,5.296100864701628,0.08333333333333333,1.3846153846153846,3
MK08,Proposed,L,9,20,prayer in schools offends some,prayer in schools offends some,30,30,43.228,35.370000000000005,0,35,8.05033774405478,9.838846480067854,7.0786034260591135,0.0,1.1666666666666667,2
MK08,Proposed,L,10,489,rejection letters are discouraging,rejection letters are diss discouraging,34,39,79.005,71.316,5,51,5.771786595785077,6.394077065455156,6.200216846041343,0.14705882352941177,1.3076923076923077,6
MK08,Proposed,L,11,36,the force is with you,the force is with no m you,21,26,36.962,28.715000000000003,5,38,8.116443915372544,10.447501305937662,6.7552953537887035,0.23809523809523808,1.4615384615384615,5
MK08,Proposed,L,12,173,I want to hold your hand,i want to hold your man hand,24,28,40.859,31.413000000000004,4,37,7.929709488729533,10.314201126921974,6.543741940301752,0.16666666666666666,1.3214285714285714,2
MK08,Proposed,L,13,369,drugs should be avoided,drugs should be avoided,23,23,49.682,44.608,0,42,5.313795740912202,5.918220946915352,5.673169336651779,0.0,1.826086956521739,6
MK08,Proposed,L,14,262,valid until the end of the year,valid until the end or of the year,31,34,65.522,51.299,3,50,6.04377155764476,7.719448722197313,5.39375219898344,0.0967741935483871,1.4705882352941178,6
MK08,Proposed,L,15,100,what a monkey sees a monkey will do,what a monkey sees a monkey will do,35,35,58.35,46.63999999999999,0,48,6.992287917737789,8.74785591766724,6.761430208153824,0.0,1.3714285714285714,5
MK08,Proposed,L,16,493,a good stimulus deserves a good response,atole a role good a good stimulus deserves a good response good response,40,72,112.186,94.947,32,130,7.5945305118285695,8.973427280482795,6.934921815278448,0.8,1.8055555555555556,22
MK08,Proposed,L,17,387,that sticker needs to be validated,that sticker needs to be validated,34,34,59.206,48.159000000000006,0,39,6.688511299530453,8.222762100541953,6.5362833644167315,0.0,1.1470588235294117,0
MK08,Proposed,L,18,136,do not walk too quickly,do not walk too quickly,23,23,33.422,26.455,0,30,7.898988690084377,9.979209979209982,8.871596267519953,0.0,1.3043478260869565,2
MK08,Proposed,L,19,270,this equation is too complicated,this equationum equationumyyy equationum equationum this equation is too m this equation is too complicated,32,107,185.987,163.04099999999997,75,231,6.83918768516079,7.801718586122511,12.329494717007304,2.34375,2.1588785046728973,85
MK08,Proposed,L,20,90,information super highway,information super highway,25,25,27.419,24.097,0,26,10.503665341551478,11.95169523177159,9.914147596103653,0.0,1.04,0
