ParticipantID,Condition,Handedness,TrialID,PhraseID,TargetPhrase,InputPhrase,TargetCharCount,InputCharCount,DurationSec,ActiveDurationSec,LevenshteinDist,TotalKeystrokes,WPM,ActiveWPM,MeanWordWPM,CER,KSPC,BackspaceCount
MY05,Controller,R,1,20,prayer in schools offends some,prayer in schools offends some,30,30,43.763,39.050000000000004,0,45,7.951922857208144,8.911651728553137,6.8410017808982335,0.0,1.5,7
MY05,Controller,R,2,149,I can play much better now,i can play much better now,26,26,30.319,25.563,0,39,9.894785448068868,11.735711770918906,9.87938170059323,0.0,1.5,2
MY05,Controller,R,3,494,everybody looses in custody battles,everybody looses in custody battles,35,35,30.596,27.571,0,44,13.335076480585697,14.798157484313228,12.537994306163196,0.0,1.2571428571428571,4
MY05,Controller,R,4,419,the chancellor was very boring,the chanceller chancellor was very boring,30,41,60.457,52.48,11,72,7.939527267313959,9.146341463414634,9.355371829792956,0.36666666666666664,1.7560975609756098,12
MY05,Controller,R,5,219,if you were not so stupid,if you were not so stupid,25,25,32.194,27.133,0,41,8.945766291855623,10.614381012051744,8.614241020367919,0.0,1.64,6
MY05,Controller,R,6,261,obligations must be met first,obligations must be met first,29,29,28.985,25.201,0,44,11.592202863550112,13.332804253799452,10.187148117812825,0.0,1.5172413793103448,1
MY05,Controller,R,7,316,a good joke deserves a good laugh,a good joke deserves a good a role joke deserves good joke deserves a golem laugh good laugh,33,92,93.914,75.01500000000001,59,149,11.627659347914049,14.557088582283539,10.289642880046374,1.7878787878787878,1.6195652173913044,26
MY05,Controller,R,8,175,superman never wore a mask,superman never wore a mask,26,26,25.542,21.31,0,34,11.745360582569884,14.077897700610043,10.131385877195147,0.0,1.3076923076923077,1
MY05,Controller,R,9,32,the power of denial,the power of denial,19,19,20.764,18.215,0,30,10.402619919090736,11.858358495745266,13.052650099222262,0.0,1.5789473684210527,3
MY05,Controller,R,10,397,meet tomorrow in the lavatory,meet tomorrow in the lavatory,29,29,23.512,20.715,0,36,14.290575025518882,16.220130340333093,15.092885050449405,0.0,1.2413793103448276,3
MY05,Controller,R,11,320,where did you get such a silly idea,where die did you get such a silly idea,35,39,53.971,45.641,4,75,8.448981860628857,9.99101684888587,9.667711533003192,0.11428571428571428,1.9230769230769231,13
MY05,Controller,R,12,402,the ventilation system is broken,the ventilation system is broken,32,32,47.86,43.409000000000006,0,77,7.772670288340995,8.569651454767444,10.52333469066126,0.0,2.40625,22
MY05,Controller,R,13,5,physics and chemistry are hard,physics and chemistry are hard,30,30,23.055,20.022000000000002,0,35,15.09433962264151,17.380881030866043,13.21974010053805,0.0,1.1666666666666667,0
MY05,Controller,R,14,319,interactions between men and women,interactions between men and women,34,34,23.637,19.853,0,39,16.753395100901127,19.94660756560721,15.757188588505382,0.0,1.1470588235294117,2
MY05,Controller,R,15,471,gamblers eventually loose their shirts,gamblers eventually loose their shirts,38,38,33.569,30.195,0,47,13.226488724716257,14.704421261798313,12.74767979482497,0.0,1.236842105263158,3
MY05,Controller,R,16,64,I am going to a music lesson,i am going to a music lesson music lesson,28,41,55.679,45.98,13,82,8.620844483557535,10.439321444106133,10.865686188545423,0.4642857142857143,2.0,18
MY05,Controller,R,17,349,if diplomacy does not work,if diplomacy does not work,26,26,18.958,14.912,0,27,15.824454056335059,20.11802575107296,14.764170941312159,0.0,1.0384615384615385,0
MY05,Controller,R,18,117,user friendly interface,user friendly interface,23,23,21.403,20.104,0,44,12.33471943185535,13.131715081575807,12.884716801478335,0.0,1.9130434782608696,10
MY05,Controller,R,19,321,it should be sunny tomorrow,it should be sunny tomorrow,27,27,34.067,30.354999999999997,0,54,9.158423107405994,10.278372591006427,8.49012123602692,0.0,2.0,10
MY05,Controller,R,20,473,irregular verbs are the hardest to learn,irregular verbs are the hardest to learn,40,40,36.14,31.076,0,49,12.949640287769784,15.059853262968206,13.162836482099946,0.0,1.225,4
