Timestamp,ParticipantID,Condition,Handedness,TrialID,PhraseID,EventType,EventData,ClientTimestamp
2026-01-19T16:35:21.157049+09:00,SS05,Proposed,R,1,397,system,test_started,1768808111880
2026-01-19T16:35:21.157074+09:00,SS05,Proposed,R,1,397,keydown,"{'key': 'u', 'code': 'KeyU'}",1768808113747
2026-01-19T16:35:21.157083+09:00,SS05,Proposed,R,1,397,prediction_update,"{'count': 6, 'top': 'm'}",1768808113794
2026-01-19T16:35:21.157089+09:00,SS05,Proposed,R,1,397,keydown,"{'key': 's', 'code': 'KeyS'}",1768808114273
2026-01-19T16:35:21.157095+09:00,SS05,Proposed,R,1,397,prediction_update,"{'count': 10, 'top': 'ms'}",1768808114603
2026-01-19T16:35:21.157100+09:00,SS05,Proposed,R,1,397,keydown,"{'key': 'Backspace', 'code': 'Backspace'}",1768808115532
2026-01-19T16:35:21.157106+09:00,SS05,Proposed,R,1,397,prediction_update,"{'count': 6, 'top': 'm'}",1768808115581
2026-01-19T16:35:21.157112+09:00,SS05,Proposed,R,1,397,keydown,"{'key': 'd', 'code': 'KeyD'}",1768808115982
2026-01-19T16:35:21.157117+09:00,SS05,Proposed,R,1,397,prediction_update,"{'count': 10, 'top': 'he'}",1768808116012
2026-01-19T16:35:21.157122+09:00,SS05,Proposed,R,1,397,keydown,"{'key': 'd', 'code': 'KeyD'}",1768808116193
2026-01-19T16:35:21.157126+09:00,SS05,Proposed,R,1,397,prediction_update,"{'count': 10, 'top': 'med'}",1768808116222
2026-01-19T16:35:21.157131+09:00,SS05,Proposed,R,1,397,keydown,"{'key': 'f', 'code': 'KeyF'}",1768808116583
2026-01-19T16:35:21.157136+09:00,SS05,Proposed,R,1,397,prediction_update,"{'count': 10, 'top': 'meet'}",1768808116803
2026-01-19T16:35:21.157141+09:00,SS05,Proposed,R,1,397,keydown,"{'key': ' ', 'code': 'Space'}",1768808117919
2026-01-19T16:35:21.157146+09:00,SS05,Proposed,R,1,397,nav,"{'direction': 1, 'new_index': 1}",1768808117919
2026-01-19T16:35:21.157151+09:00,SS05,Proposed,R,1,397,keydown,"{'key': ' ', 'code': 'Space'}",1768808119119
2026-01-19T16:35:21.157155+09:00,SS05,Proposed,R,1,397,nav,"{'direction': 1, 'new_index': 2}",1768808119120
2026-01-19T16:35:21.157161+09:00,SS05,Proposed,R,1,397,keydown,"{'key': ' ', 'code': 'Space'}",1768808119313
2026-01-19T16:35:21.157165+09:00,SS05,Proposed,R,1,397,nav,"{'direction': 1, 'new_index': 3}",1768808119313
2026-01-19T16:35:21.157170+09:00,SS05,Proposed,R,1,397,keydown,"{'key': ' ', 'code': 'Space'}",1768808119494
2026-01-19T16:35:21.157174+09:00,SS05,Proposed,R,1,397,nav,"{'direction': 1, 'new_index': 4}",1768808119494
2026-01-19T16:35:21.157179+09:00,SS05,Proposed,R,1,397,keydown,"{'key': ' ', 'code': 'Space'}",1768808119658
2026-01-19T16:35:21.157184+09:00,SS05,Proposed,R,1,397,nav,"{'direction': 1, 'new_index': 5}",1768808119658
2026-01-19T16:35:21.157188+09:00,SS05,Proposed,R,1,397,keydown,"{'key': ' ', 'code': 'Space'}",1768808119807
2026-01-19T16:35:21.157193+09:00,SS05,Proposed,R,1,397,nav,"{'direction': 1, 'new_index': 6}",1768808119807
2026-01-19T16:35:21.157198+09:00,SS05,Proposed,R,1,397,keydown,"{'key': ' ', 'code': 'Space'}",1768808119990
2026-01-19T16:35:21.157202+09:00,SS05,Proposed,R,1,397,nav,"{'direction': 1, 'new_index': 7}",1768808119990
2026-01-19T16:35:21.157206+09:00,SS05,Proposed,R,1,397,keydown,"{'key': ' ', 'code': 'Space'}",1768808120138
2026-01-19T16:35:21.157211+09:00,SS05,Proposed,R,1,397,nav,"{'direction': 1, 'new_index': 8}",1768808120138
2026-01-19T16:35:21.157238+09:00,SS05,Proposed,R,1,397,keydown,"{'key': ' ', 'code': 'Space'}",1768808120334
2026-01-19T16:35:21.157260+09:00,SS05,Proposed,R,1,397,nav,"{'direction': 1, 'new_index': 9}",1768808120334
2026-01-19T16:35:21.157269+09:00,SS05,Proposed,R,1,397,keydown,"{'key': ' ', 'code': 'Space'}",1768808120680
2026-01-19T16:35:21.157274+09:00,SS05,Proposed,R,1,397,nav,"{'direction': 1, 'new_index': 0}",1768808120680
2026-01-19T16:35:21.157279+09:00,SS05,Proposed,R,1,397,keydown,"{'key': 'Enter', 'code': 'Enter'}",1768808121171
2026-01-19T16:35:21.157284+09:00,SS05,Proposed,R,1,397,confirm,{'word': 'meet'},1768808121171
2026-01-19T16:35:34.098110+09:00,SS05,Proposed,R,1,397,keydown,"{'key': 'f', 'code': 'KeyF'}",1768808122372
2026-01-19T16:35:34.098139+09:00,SS05,Proposed,R,1,397,prediction_update,"{'count': 6, 'top': 'g'}",1768808122422
2026-01-19T16:35:34.098173+09:00,SS05,Proposed,R,1,397,keydown,"{'key': 'o', 'code': 'KeyO'}",1768808123091
2026-01-19T16:35:34.098179+09:00,SS05,Proposed,R,1,397,prediction_update,"{'count': 10, 'top': 'to'}",1768808123361
2026-01-19T16:35:34.098185+09:00,SS05,Proposed,R,1,397,keydown,"{'key': 'u', 'code': 'KeyU'}",1768808123962
