ParticipantID,Condition,Handedness,TrialID,PhraseID,TargetPhrase,InputPhrase,TargetCharCount,InputCharCount,DurationSec,LevenshteinDist,TotalKeystrokes,WPM,CER,KSPC,BackspaceCount
WE01,Controller,L,1,165,peek out the window,peek out the window,19,19,10.394987,0,20,20.77924676577277,0.0,1.0526315789473684,0
WE01,Controller,L,2,300,relations are very strained,relations are very strained,27,27,25.453632,0,36,12.257582729254514,0.0,1.3333333333333333,2
WE01,Controller,L,3,478,do not lie in court or else,do not lie in court or else,27,27,24.282131,0,42,12.848954648996829,0.0,1.5555555555555556,1
WE01,Controller,L,4,378,granite is the hardest of all rocks,grantite granite is the hardest or or of of all rocks,35,53,47.686077,18,66,13.085580514413044,0.5142857142857142,1.2452830188679245,5
WE01,Controller,L,5,278,the generation gap gets wider,the generation gap gets wider,29,29,18.181725,0,30,18.48009471048539,0.0,1.0344827586206897,0
WE01,Controller,L,6,152,batman wears a cape,barman batman wears a cape,19,26,24.098963,7,39,12.448668434405247,0.3684210526315789,1.5,3
WE01,Controller,L,7,175,superman never wore a mask,superman never wore a mask,26,26,33.048425,0,49,9.077588417602351,0.0,1.8846153846153846,9
WE01,Controller,L,8,176,I listen to the tape everyday,i listen to the tape everyday,29,29,20.846726,0,30,16.11763880812747,0.0,1.0344827586206897,0
WE01,Controller,L,9,464,find a nearby parking spot,find a nearby parking spot,26,26,17.296875,0,33,17.34417344173442,0.0,1.2692307692307692,0
WE01,Controller,L,10,463,apartments are too expensive,apartments are vol too expensive,28,32,17.859883,4,56,20.82880386170503,0.14285714285714285,1.75,11
WE01,Controller,L,11,388,the fire raged for an entire month,the fire raged for zu an entire month,34,37,51.074948,3,69,8.45815839107658,0.08823529411764706,1.864864864864865,7
WE01,Controller,L,12,3,breathing is difficult,breathing is difficult,22,22,10.522507000000001,0,23,23.94866546536866,0.0,1.0454545454545454,0
WE01,Controller,L,13,426,quit while you are ahead,quit while you are ahead,24,24,15.550468,0,31,17.748661969530435,0.0,1.2916666666666667,2
WE01,Controller,L,14,246,we missed your birthday,se we missed your bithday birthday,23,34,33.875235,11,41,11.689955803996634,0.4782608695652174,1.2058823529411764,2
WE01,Controller,L,15,76,the king sends you to the tower,the king sends you to the tower,31,31,25.433961,0,36,14.154303374138223,0.0,1.1612903225806452,0
WE01,Controller,L,16,361,rapidly running short on words,rapidly running short on words,30,30,16.935026,0,33,20.549126998683086,0.0,1.1,1
WE01,Controller,L,17,134,parking lot is full of trucks,parking log lot is full or of trucks,29,36,26.53268,7,59,15.829535501125404,0.2413793103448276,1.6388888888888888,10
WE01,Controller,L,18,18,please provide your date of birth,please provide your date or of birth,33,36,36.665683,3,56,11.454852757004417,0.09090909090909091,1.5555555555555556,6
WE01,Controller,L,19,85,the store will close at ten,the store will close at ten,27,27,16.910985,0,28,18.449546256471756,0.0,1.037037037037037,0
WE01,Controller,L,20,390,we have enough witnesses,se have enough witnesses se we have enough witnesses,24,52,81.255766,28,100,7.531773191332661,1.1666666666666667,1.9230769230769231,18
