ParticipantID,Condition,Handedness,TrialID,PhraseID,TargetPhrase,InputPhrase,TargetCharCount,InputCharCount,DurationSec,ActiveDurationSec,LevenshteinDist,TotalKeystrokes,WPM,ActiveWPM,MeanWordWPM,CER,KSPC,BackspaceCount
WE01,Keyboard,L,1,233,the pen is mightier than the sword,the pen is mightier than the sword,34,34,30.96,26.442000000000004,0,51,12.790697674418604,14.976174268209665,22.421872002080637,0.0,1.5,7
WE01,Keyboard,L,2,265,a picture is worth many words,a picture ls is worth many words,29,32,18.846,13.86,3,38,19.73893664438077,26.83982683982684,96.05585807134642,0.10344827586206896,1.1875,3
WE01,Keyboard,L,3,484,dormitory doors are locked at midnight,coniform domitory dormitory doors are locked av at midnight,38,59,41.15,35.738,21,91,16.913730255164033,19.475068554479826,17.585939222146646,0.5526315789473685,1.5423728813559323,15
WE01,Keyboard,L,4,107,the early bird gets the worm,the early fire bird gets the worm,28,33,27.665,23.320999999999998,5,49,13.880354238207122,16.46584623300888,34.05520875257584,0.17857142857142858,1.4848484848484849,5
WE01,Keyboard,L,5,296,good at addition and subtraction,role good at addition and subtraction,32,37,57.815,53.649,5,66,7.472109314191819,8.05234021137393,10.943139556821826,0.15625,1.7837837837837838,11
WE01,Keyboard,L,6,227,victims deserve more redress,victims dextere deserve more redress,28,36,15.74,11.904,8,42,26.683608640406604,35.28225806451613,25.625223165847093,0.2857142857142857,1.1666666666666667,3
WE01,Keyboard,L,7,342,the gun discharged by accident,the run run gun discharged ru by accident,30,41,38.557,31.548000000000002,11,66,12.449101330497703,15.214910612400152,30.25090386239161,0.36666666666666664,1.6097560975609757,11
WE01,Keyboard,L,8,386,important for political parties,important for political parties,31,31,17.699,14.852,0,41,20.340132210859366,24.239159709130085,23.475734621281116,0.0,1.3225806451612903,4
WE01,Keyboard,L,9,102,this is a very good idea,this is a fern very role good idea,24,34,16.04,9.79,10,45,24.688279301745638,40.449438202247194,39.414791146587355,0.4166666666666667,1.3235294117647058,2
WE01,Keyboard,L,10,370,the most beautiful sunset,the host most beautiful sunset,25,30,15.562,11.986,5,36,22.362164246240845,29.033872851660266,52.3452609072484,0.2,1.2,2
WE01,Keyboard,L,11,244,beautiful paintings in the gallery,beautiful paintings in the gallery,34,34,13.167,9.774000000000001,0,37,30.07518796992481,40.51565377532228,34.03161375667086,0.0,1.088235294117647,1
WE01,Keyboard,L,12,130,sent this by registered mail,sent this by registered mail,28,28,17.826999999999998,14.109,0,37,18.17467885791216,22.964065490112695,37.93878522855553,0.0,1.3214285714285714,4
WE01,Keyboard,L,13,213,the winner of the race,the winner or of the race,22,25,16.154,12.633000000000001,3,39,17.82840163427015,22.79743528853004,17.65613998932982,0.13636363636363635,1.56,6
WE01,Keyboard,L,14,145,stay away from strangers,stay away from strangers,24,24,15.952,13.615,0,37,17.301905717151456,20.271759089239804,18.080280817892582,0.0,1.5416666666666667,6
WE01,Keyboard,L,15,250,acutely aware of her good looks,actualy acutely award aware of her good looks,31,45,33.997,28.466,14,72,15.53078212783481,18.548443757465044,19.296196729147287,0.45161290322580644,1.6,10
WE01,Keyboard,L,16,337,no kissing in the library,no kissing in the library,25,25,25.214,22.667,0,46,11.42222574760054,12.705695504477873,25.613222922718098,0.0,1.84,10
WE01,Keyboard,L,17,46,did you have a good time,die did you have a good time,24,28,12.845,8.633000000000001,4,38,25.22382249902686,37.53040657940461,31.956483067761805,0.16666666666666666,1.3571428571428572,1
WE01,Keyboard,L,18,413,our life expectancy has increased,our life expectanty expectancy has increased,33,44,30.334,25.561999999999998,11,72,17.010615151315356,20.18621391127455,18.092850427000116,0.3333333333333333,1.6363636363636365,3
WE01,Keyboard,L,19,266,this camera takes nice photographs,this camera takes nice photographs,34,34,29.982,27.038999999999998,0,45,13.207924754852911,14.645512038167093,32.85983830035509,0.0,1.3235294117647058,3
WE01,Keyboard,L,20,61,movie about a nutty professor,movie about a myrrh nutty professor,29,35,18.515,14.517999999999999,6,41,22.036186875506345,28.103044496487122,21.973290073206275,0.20689655172413793,1.1714285714285715,1
