Timestamp,ParticipantID,Condition,Handedness,TrialID,PhraseID,EventType,EventData,ClientTimestamp
2026-01-23T23:40:41.869367+09:00,YM11,Proposed,R,1,129,system,test_started,1769179226847
2026-01-23T23:40:41.869390+09:00,YM11,Proposed,R,1,129,keydown,"{'key': 'f', 'code': 'KeyF'}",1769179231523
2026-01-23T23:40:41.869399+09:00,YM11,Proposed,R,1,129,prediction_update,"{'count': 6, 'top': 'g'}",1769179231593
2026-01-23T23:40:41.869406+09:00,YM11,Proposed,R,1,129,keydown,"{'key': 'a', 'code': 'KeyA'}",1769179232676
2026-01-23T23:40:41.869412+09:00,YM11,Proposed,R,1,129,prediction_update,"{'count': 10, 'top': 'ba'}",1769179232716
2026-01-23T23:40:41.869417+09:00,YM11,Proposed,R,1,129,keydown,"{'key': 'i', 'code': 'KeyI'}",1769179235016
2026-01-23T23:40:41.869422+09:00,YM11,Proposed,R,1,129,prediction_update,"{'count': 10, 'top': 'tak'}",1769179235358
2026-01-23T23:40:41.869428+09:00,YM11,Proposed,R,1,129,keydown,"{'key': 'd', 'code': 'KeyD'}",1769179238153
2026-01-23T23:40:41.869433+09:00,YM11,Proposed,R,1,129,prediction_update,"{'count': 10, 'top': 'raid'}",1769179238350
2026-01-23T23:40:41.869439+09:00,YM11,Proposed,R,1,129,keydown,"{'key': ' ', 'code': 'Space'}",1769179241454
2026-01-23T23:40:41.869443+09:00,YM11,Proposed,R,1,129,nav,"{'direction': 1, 'new_index': 1}",1769179241454
2026-01-23T23:40:41.869449+09:00,YM11,Proposed,R,1,129,keydown,"{'key': 'Enter', 'code': 'Enter'}",1769179241871
2026-01-23T23:40:41.869453+09:00,YM11,Proposed,R,1,129,confirm,{'word': 'take'},1769179241871
2026-01-23T23:40:47.666157+09:00,YM11,Proposed,R,1,129,keydown,"{'key': 'i', 'code': 'KeyI'}",1769179244093
2026-01-23T23:40:47.666181+09:00,YM11,Proposed,R,1,129,prediction_update,"{'count': 2, 'top': 'i'}",1769179244155
2026-01-23T23:40:47.666187+09:00,YM11,Proposed,R,1,129,keydown,"{'key': 'f', 'code': 'KeyF'}",1769179245515
2026-01-23T23:40:47.666193+09:00,YM11,Proposed,R,1,129,prediction_update,"{'count': 10, 'top': 'if'}",1769179245556
2026-01-23T23:40:47.666199+09:00,YM11,Proposed,R,1,129,keydown,"{'key': ' ', 'code': 'Space'}",1769179247256
2026-01-23T23:40:47.666204+09:00,YM11,Proposed,R,1,129,nav,"{'direction': 1, 'new_index': 1}",1769179247256
2026-01-23T23:40:47.666209+09:00,YM11,Proposed,R,1,129,keydown,"{'key': 'Enter', 'code': 'Enter'}",1769179247555
2026-01-23T23:40:47.666214+09:00,YM11,Proposed,R,1,129,confirm,{'word': 'it'},1769179247555
