ParticipantID,Condition,Handedness,TrialID,PhraseID,TargetPhrase,InputPhrase,TargetCharCount,InputCharCount,DurationSec,LevenshteinDist,TotalKeystrokes,WPM,CER,KSPC,BackspaceCount
YM11,Proposed,R,1,129,take it to the recycling depot,take it to the recycling depot,30,30,118.971128,0,73,2.9250794360796513,0.0,2.433333333333333,19
YM11,Proposed,R,2,156,freud wrote of the ego,freud wrote of the ego,22,22,49.665264,0,51,5.073968800407464,0.0,2.3181818181818183,5
YM11,Proposed,R,3,349,if diplomacy does not work,if diplomacy does not work,26,26,41.803021,0,27,7.176514826524141,0.0,1.0384615384615385,0
YM11,Proposed,R,4,305,a security force of eight thousand,a security force of eight thousand,34,34,107.089603,0,65,3.6978379684533893,0.0,1.911764705882353,14
YM11,Proposed,R,5,415,the high waves will swamp us,the high waves will xx swamp us,28,31,46.209378,3,35,7.790626396226324,0.10714285714285714,1.1290322580645162,1
YM11,Proposed,R,6,315,longer than a football field,longer than a football field,28,28,41.066525,0,31,7.889637606298561,0.0,1.1071428571428572,1
YM11,Proposed,R,7,56,fish are jumping,fish are jumping,16,16,18.000179,0,17,9.999900556544466,0.0,1.0625,0
YM11,Proposed,R,8,464,find a nearby parking spot,find a nearby parking spot,26,26,43.955966,0,43,6.825012104158967,0.0,1.6538461538461537,5
YM11,Proposed,R,9,352,the cat has a pleasant temperament,the cat has pleasant pleasant a pleasant temperament,34,52,107.603664,18,71,5.687538669686935,0.5294117647058824,1.3653846153846154,8
YM11,Proposed,R,10,69,all together in one big pile,all together in one big pile,28,28,68.123739,0,53,4.7560513376988895,0.0,1.8928571428571428,10
YM11,Proposed,R,11,478,do not lie in court or else,do not lie in court or else,27,27,69.265224,0,43,4.504424904480205,0.0,1.5925925925925926,7
YM11,Proposed,R,12,295,very reluctant to enter,very reluctant to enter,23,23,35.582616,0,36,7.419353315675273,0.0,1.565217391304348,4
YM11,Proposed,R,13,214,we drive on parkways,we drive on parkways,20,20,56.634756,0,51,4.025796456154945,0.0,2.55,13
YM11,Proposed,R,14,250,acutely aware of her good looks,acutely award aware of her good looks,31,37,46.414254,6,47,9.307485584062173,0.1935483870967742,1.2702702702702702,1
YM11,Proposed,R,15,243,this system of taxation,this system of taxation,23,23,32.917352,0,26,8.020086184332204,0.0,1.1304347826086956,0
YM11,Proposed,R,16,112,the library is closed today,the library is close closed today,27,33,64.902306,6,51,5.916584843687989,0.2222222222222222,1.5454545454545454,7
YM11,Proposed,R,17,387,that sticker needs to be validated,that sticker needs to be validated,34,34,62.599795,0,59,6.32589931005365,0.0,1.7352941176470589,10
YM11,Proposed,R,18,143,dashing through the snow,dashing throught through the show show snow,24,43,68.03656,19,51,7.407781933713287,0.7916666666666666,1.186046511627907,4
YM11,Proposed,R,19,132,a fox is a very smart animal,a fox is a very smart animal,28,28,70.525202,0,46,4.594102403279895,0.0,1.6428571428571428,1
YM11,Proposed,R,20,195,do a good deed to someone,do a good deed to someone,25,25,52.252036,0,38,5.511746948960994,0.0,1.52,4
