Timestamp,ParticipantID,Condition,Handedness,TrialID,PhraseID,EventType,EventData,ClientTimestamp
2026-01-20T18:30:14.899866+09:00,debug-EM09,Keyboard,R,1,160,system,test_started,1768901410560
2026-01-20T18:30:14.899894+09:00,debug-EM09,Keyboard,R,1,160,keydown,"{'key': 'c', 'code': 'KeyC'}",1768901412102
2026-01-20T18:30:14.899905+09:00,debug-EM09,Keyboard,R,1,160,prediction_update,"{'count': 3, 'top': 'c'}",1768901412163
2026-01-20T18:30:14.899911+09:00,debug-EM09,Keyboard,R,1,160,keydown,"{'key': 'a', 'code': 'KeyA'}",1768901412173
2026-01-20T18:30:14.899917+09:00,debug-EM09,Keyboard,R,1,160,prediction_update,"{'count': 9, 'top': 'da'}",1768901412208
2026-01-20T18:30:14.899922+09:00,debug-EM09,Keyboard,R,1,160,keydown,"{'key': 'n', 'code': 'KeyN'}",1768901412425
2026-01-20T18:30:14.899927+09:00,debug-EM09,Keyboard,R,1,160,prediction_update,"{'count': 10, 'top': 'day'}",1768901412460
2026-01-20T18:30:14.899932+09:00,debug-EM09,Keyboard,R,1,160,keydown,"{'key': ' ', 'code': 'Space'}",1768901413892
2026-01-20T18:30:14.899937+09:00,debug-EM09,Keyboard,R,1,160,nav,"{'direction': 1, 'new_index': 1}",1768901413892
2026-01-20T18:30:14.899943+09:00,debug-EM09,Keyboard,R,1,160,keydown,"{'key': ' ', 'code': 'Space'}",1768901414278
2026-01-20T18:30:14.899948+09:00,debug-EM09,Keyboard,R,1,160,nav,"{'direction': 1, 'new_index': 2}",1768901414278
2026-01-20T18:30:14.899953+09:00,debug-EM09,Keyboard,R,1,160,keydown,"{'key': ' ', 'code': 'Space'}",1768901414575
2026-01-20T18:30:14.899958+09:00,debug-EM09,Keyboard,R,1,160,nav,"{'direction': 1, 'new_index': 3}",1768901414575
2026-01-20T18:30:14.899963+09:00,debug-EM09,Keyboard,R,1,160,keydown,"{'key': 'Enter', 'code': 'Enter'}",1768901414894
2026-01-20T18:30:14.899968+09:00,debug-EM09,Keyboard,R,1,160,confirm,{'word': 'can'},1768901414894
2026-01-20T18:30:17.445213+09:00,debug-EM09,Keyboard,R,1,160,keydown,"{'key': 'w', 'code': 'KeyW'}",1768901416021
