Timestamp,ParticipantID,Condition,Handedness,TrialID,PhraseID,EventType,EventData,ClientTimestamp
2026-01-20T13:35:24.503922+09:00,debug-MT04,Keyboard,R,1,168,system,test_started,1768883718831
2026-01-20T13:35:24.503943+09:00,debug-MT04,Keyboard,R,1,168,keydown,"{'key': 'Shift', 'code': 'ShiftLeft'}",1768883720486
2026-01-20T13:35:24.503952+09:00,debug-MT04,Keyboard,R,1,168,keydown,"{'key': 'I', 'code': 'KeyI'}",1768883720617
2026-01-20T13:35:24.503958+09:00,debug-MT04,Keyboard,R,1,168,prediction_update,"{'count': 2, 'top': 'i'}",1768883720675
2026-01-20T13:35:24.503964+09:00,debug-MT04,Keyboard,R,1,168,keydown,"{'key': ' ', 'code': 'Space'}",1768883720776
2026-01-20T13:35:24.503969+09:00,debug-MT04,Keyboard,R,1,168,nav,"{'direction': 1, 'new_index': 1}",1768883720776
2026-01-20T13:35:24.503975+09:00,debug-MT04,Keyboard,R,1,168,keydown,"{'key': 'Backspace', 'code': 'Backspace'}",1768883722723
2026-01-20T13:35:24.503980+09:00,debug-MT04,Keyboard,R,1,168,keydown,"{'key': 'Shift', 'code': 'ShiftLeft'}",1768883723669
2026-01-20T13:35:24.503985+09:00,debug-MT04,Keyboard,R,1,168,keydown,"{'key': 'I', 'code': 'KeyI'}",1768883723782
2026-01-20T13:35:24.504022+09:00,debug-MT04,Keyboard,R,1,168,prediction_update,"{'count': 2, 'top': 'i'}",1768883723837
2026-01-20T13:35:24.504029+09:00,debug-MT04,Keyboard,R,1,168,keydown,"{'key': 'Enter', 'code': 'Enter'}",1768883724401
2026-01-20T13:35:24.504034+09:00,debug-MT04,Keyboard,R,1,168,confirm,{'word': 'i'},1768883724401
2026-01-20T13:35:30.583740+09:00,debug-MT04,Keyboard,R,1,168,keydown,"{'key': 's', 'code': 'KeyS'}",1768883725197
2026-01-20T13:35:30.583770+09:00,debug-MT04,Keyboard,R,1,168,prediction_update,"{'count': 3, 'top': 's'}",1768883725250
2026-01-20T13:35:30.583778+09:00,debug-MT04,Keyboard,R,1,168,keydown,"{'key': 'k', 'code': 'KeyK'}",1768883725332
2026-01-20T13:35:30.583784+09:00,debug-MT04,Keyboard,R,1,168,prediction_update,"{'count': 6, 'top': 'si'}",1768883725365
2026-01-20T13:35:30.583790+09:00,debug-MT04,Keyboard,R,1,168,keydown,"{'key': 'i', 'code': 'KeyI'}",1768883725523
2026-01-20T13:35:30.583795+09:00,debug-MT04,Keyboard,R,1,168,keydown,"{'key': 'm', 'code': 'KeyM'}",1768883725749
2026-01-20T13:35:30.583801+09:00,debug-MT04,Keyboard,R,1,168,prediction_update,"{'count': 10, 'top': 'xii'}",1768883725834
2026-01-20T13:35:30.583807+09:00,debug-MT04,Keyboard,R,1,168,keydown,"{'key': 'm', 'code': 'KeyM'}",1768883725873
2026-01-20T13:35:30.583811+09:00,debug-MT04,Keyboard,R,1,168,prediction_update,"{'count': 10, 'top': 'skin'}",1768883725977
2026-01-20T13:35:30.583817+09:00,debug-MT04,Keyboard,R,1,168,prediction_update,"{'count': 10, 'top': 'skinn'}",1768883725979
2026-01-20T13:35:30.583822+09:00,debug-MT04,Keyboard,R,1,168,keydown,"{'key': 'e', 'code': 'KeyE'}",1768883725991
2026-01-20T13:35:30.583827+09:00,debug-MT04,Keyboard,R,1,168,prediction_update,"{'count': 10, 'top': 'sikhye'}",1768883726108
2026-01-20T13:35:30.583832+09:00,debug-MT04,Keyboard,R,1,168,keydown,"{'key': 'd', 'code': 'KeyD'}",1768883726221
2026-01-20T13:35:30.583838+09:00,debug-MT04,Keyboard,R,1,168,prediction_update,"{'count': 10, 'top': 'skinned'}",1768883726302
2026-01-20T13:35:30.583843+09:00,debug-MT04,Keyboard,R,1,168,keydown,"{'key': ' ', 'code': 'Space'}",1768883729405
2026-01-20T13:35:30.583848+09:00,debug-MT04,Keyboard,R,1,168,nav,"{'direction': 1, 'new_index': 1}",1768883729405
2026-01-20T13:35:30.583853+09:00,debug-MT04,Keyboard,R,1,168,keydown,"{'key': 'Enter', 'code': 'Enter'}",1768883730556
2026-01-20T13:35:30.583858+09:00,debug-MT04,Keyboard,R,1,168,confirm,{'word': 'skimmed'},1768883730556
2026-01-20T13:35:34.536510+09:00,debug-MT04,Keyboard,R,1,168,keydown,"{'key': 't', 'code': 'KeyT'}",1768883731597
2026-01-20T13:35:34.536537+09:00,debug-MT04,Keyboard,R,1,168,prediction_update,"{'count': 6, 'top': 'g'}",1768883731649
2026-01-20T13:35:34.536544+09:00,debug-MT04,Keyboard,R,1,168,keydown,"{'key': 'h', 'code': 'KeyH'}",1768883732302
2026-01-20T13:35:34.536549+09:00,debug-MT04,Keyboard,R,1,168,prediction_update,"{'count': 10, 'top': 'by'}",1768883732338
2026-01-20T13:35:34.536555+09:00,debug-MT04,Keyboard,R,1,168,keydown,"{'key': 'r', 'code': 'KeyR'}",1768883732559
2026-01-20T13:35:34.536560+09:00,debug-MT04,Keyboard,R,1,168,prediction_update,"{'count': 10, 'top': 'but'}",1768883732592
