Timestamp,ParticipantID,Condition,TrialNum,TargetGesture,TargetID,ReactionTime,TotalTime
2025-12-27T07:56:31.242693,p01,Proposed,1,HandOpen,2,0.148,0.648
2025-12-27T09:36:15.630849,p01,Proposed,1,Neutral,0,0.154,0.654
2025-12-27T09:42:16.817531,p01,Proposed,1,HandOpen,2,0.207,0.707
2025-12-27T10:06:05.124107,p01,Proposed,1,FingerPoint,3,7.786,8.286
2025-12-27T12:09:53.042022,p01,Proposed,1,Neutral,0,6.384,6.884
2025-12-27T12:09:53.679022,p01,Proposed,2,Neutral,0,0.134,0.634
2025-12-27T12:21:35.680606,p01,Proposed,1,HandOpen,2,0.147,0.647
2025-12-27T12:22:04.711021,p01,Proposed,1,ThumbsUp,7,6.462,6.962
2025-12-27T12:25:04.482451,p01,Proposed,1,HandOpen,2,0.150,0.650
2025-12-27T12:25:06.045610,p01,Proposed,2,FingerPoint,3,1.060,1.560
