Timestamp,ParticipantID,Condition,Handedness,TrialID,TargetGesture,TargetID,ReactionTime
2026-01-13T16:11:57.178437,debug-p01,Proposed,R,1,FingerPoint,3,3707.859516143799
2026-01-13T16:12:03.661333,debug-p01,Proposed,R,2,Neutral,0,2224.599838256836
2026-01-13T16:12:09.167732,debug-p01,Proposed,R,3,Fist,1,1251.2307167053223
2026-01-13T16:12:16.560962,debug-p01,Proposed,R,4,Gun,6,3191.1914348602295
2026-01-13T16:12:21.904011,debug-p01,Proposed,R,5,Victory,4,1138.3936405181885
2026-01-13T16:12:26.898170,debug-p01,Proposed,R,6,Victory,4,843.0795669555664
2026-01-13T16:12:26.897910,debug-p01,Proposed,R,6,Victory,4,843.0795669555664
2026-01-13T16:12:34.288270,debug-p01,Proposed,R,8,HandOpen,2,1529.0226936340332
2026-01-13T16:12:41.654215,debug-p01,Proposed,R,9,RockNRoll,5,1115.196943283081
2026-01-13T16:12:46.641465,debug-p01,Proposed,R,10,ThumbsUp,7,859.7981929779053
2026-01-13T16:12:53.896543,debug-p01,Proposed,R,11,RockNRoll,5,2974.6813774108887
2026-01-13T16:12:53.896069,debug-p01,Proposed,R,11,RockNRoll,5,2974.6813774108887
2026-01-13T16:12:59.009736,debug-p01,Proposed,R,13,Fist,1,1001.133918762207
2026-01-13T16:13:08.526595,debug-p01,Proposed,R,14,Fist,1,5264.912843704224
2026-01-13T16:13:13.934728,debug-p01,Proposed,R,15,Fist,1,958.2984447479248
2026-01-13T16:13:19.216792,debug-p01,Proposed,R,16,RockNRoll,5,1032.6576232910156
2026-01-13T16:13:24.598691,debug-p01,Proposed,R,17,Victory,4,912.1365547180176
2026-01-13T16:13:24.600003,debug-p01,Proposed,R,17,Victory,4,912.1365547180176
2026-01-13T16:13:24.600101,debug-p01,Proposed,R,17,Victory,4,912.1365547180176
2026-01-13T16:13:33.148917,debug-p01,Proposed,R,20,HandOpen,2,2423.997402191162
2026-01-13T16:13:39.932055,debug-p01,Proposed,R,21,Fist,1,1053.5085201263428
2026-01-13T16:13:45.091214,debug-p01,Proposed,R,22,RockNRoll,5,952.1872997283936
2026-01-13T16:13:45.091859,debug-p01,Proposed,R,22,RockNRoll,5,952.1872997283936
2026-01-13T16:13:50.756152,debug-p01,Proposed,R,24,Neutral,0,1475.1627445220947
2026-01-13T16:13:56.362846,debug-p01,Proposed,R,25,Gun,6,1307.1825504302979
2026-01-13T16:14:01.890032,debug-p01,Proposed,R,26,FingerPoint,3,1224.2438793182373
2026-01-13T16:14:07.153238,debug-p01,Proposed,R,27,RockNRoll,5,995.7418441772461
2026-01-13T16:14:14.739218,debug-p01,Proposed,R,28,FingerPoint,3,1225.9783744812012
2026-01-13T16:14:21.867297,debug-p01,Proposed,R,29,Gun,6,2792.9868698120117
2026-01-13T16:14:27.396048,debug-p01,Proposed,R,30,Fist,1,976.6650199890137
2026-01-13T16:14:34.431479,debug-p01,Proposed,R,31,Gun,6,2434.3783855438232
2026-01-13T16:14:39.817144,debug-p01,Proposed,R,32,Fist,1,1000.0627040863037
2026-01-13T16:14:45.258017,debug-p01,Proposed,R,33,Victory,4,942.5194263458252
2026-01-13T16:14:50.740674,debug-p01,Proposed,R,34,ThumbsUp,7,930.4444789886475
2026-01-13T16:14:56.652919,debug-p01,Proposed,R,35,Fist,1,1598.3829498291016
