タイムスタンプ,ID(イニシャル＋誕生月、例→HarutoWakayama→HW04),年齢,性別,条件,質問項目 [このシステムを頻繁に使用したいと思う。 (I think that I would like to use this system frequently.)],質問項目 [このシステムは必要以上に複雑だと感じた。 (I found the system unnecessarily complex.)],質問項目 [このシステムは使いやすいと思った。 (I thought the system was easy to use.)],質問項目 [このシステムを使用するには、技術者のサポートが必要だと思う。 (I think that I would need the support of a technical person to be able to use this system.)],質問項目 [このシステムのさまざまな機能は、うまく統合されている（よくまとまっている）と感じた。 (I found the various functions in this system were well integrated.)],質問項目 [このシステムには一貫性がない（矛盾が多い）と思った。 (I thought there was too much inconsistency in this system.)],質問項目 [多くの人は、このシステムの使い方をすぐに習得できるだろうと思う。 (I would imagine that most people would learn to use this system very quickly.)],質問項目 [このシステムは非常に扱いづらい（面倒だ）と感じた。 (I found the system very cumbersome to use.)],質問項目 [このシステムを使っていて、自信を持って操作できた。 (I felt very confident using the system.)],質問項目 [このシステムを使い始める前に、多くのことを学ぶ必要があると感じた。 (I needed to learn a lot of things before I could get going with this system.)],その他コメント・感想(あれば)
2026/01/17 22:49:01,AM04,24,female,提案デバイス,とてもそう思う,あまりそう思わない,とてもそう思う,ややそう思う,とてもそう思う,まったくそう思わない,ややそう思う,あまりそう思わない,とてもそう思う,あまりそう思わない,
2026/01/17 23:12:03,AM04,24,female,コントローラー,どちらとも言えない,ややそう思う,あまりそう思わない,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,あまりそう思わない,ややそう思う,
2026/01/17 23:49:17,HY07,24,male,コントローラー,どちらとも言えない,ややそう思う,あまりそう思わない,ややそう思う,どちらとも言えない,どちらとも言えない,あまりそう思わない,どちらとも言えない,どちらとも言えない,ややそう思う,
2026/01/18 0:05:55,HY07,24,male,提案デバイス,どちらとも言えない,あまりそう思わない,ややそう思う,あまりそう思わない,ややそう思う,あまりそう思わない,ややそう思う,あまりそう思わない,どちらとも言えない,どちらとも言えない,
2026/01/18 0:48:27,AM04,24,female,キーボード,ややそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,
2026/01/18 1:08:51,AM04,24,female,提案デバイス,とてもそう思う,ややそう思う,とてもそう思う,ややそう思う,とてもそう思う,まったくそう思わない,ややそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,
2026/01/18 1:36:17,AM04,24,female,コントローラー,あまりそう思わない,ややそう思う,あまりそう思わない,ややそう思う,あまりそう思わない,あまりそう思わない,ややそう思う,とてもそう思う,あまりそう思わない,あまりそう思わない,
2026/01/18 18:58:18,MY05,24,female,キーボード,ややそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,ややそう思う,まったくそう思わない,
2026/01/18 19:34:41,MY05,24,female,提案デバイス,ややそう思う,あまりそう思わない,ややそう思う,ややそう思う,ややそう思う,あまりそう思わない,どちらとも言えない,どちらとも言えない,あまりそう思わない,ややそう思う,
2026/01/18 20:08:59,MY05,24,female,コントローラー,ややそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,ややそう思う,あまりそう思わない,とてもそう思う,あまりそう思わない,ややそう思う,あまりそう思わない,
2026/01/18 20:38:42,MY05,24,female,コントローラー,ややそう思う,あまりそう思わない,ややそう思う,あまりそう思わない,ややそう思う,ややそう思う,ややそう思う,あまりそう思わない,ややそう思う,あまりそう思わない,
2026/01/18 20:56:27,MY05,24,female,提案デバイス,ややそう思う,まったくそう思わない,ややそう思う,まったくそう思わない,ややそう思う,あまりそう思わない,とてもそう思う,まったくそう思わない,とてもそう思う,あまりそう思わない,
2026/01/19 0:46:15,SS05,24,male,コントローラー,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,あまりそう思わない,どちらとも言えない,あまりそう思わない,ややそう思う,ややそう思う,一部直感に反したジェスチャーがあって，困惑した
2026/01/19 1:12:28,SS05,24,male,提案デバイス,とてもそう思う,まったくそう思わない,とてもそう思う,どちらとも言えない,ややそう思う,あまりそう思わない,とてもそう思う,あまりそう思わない,とてもそう思う,ややそう思う,メロイックサインがやりやすかった
2026/01/19 16:52:50,SS05,24,male,提案デバイス,ややそう思う,どちらとも言えない,ややそう思う,ややそう思う,ややそう思う,あまりそう思わない,ややそう思う,あまりそう思わない,とてもそう思う,ややそう思う,難しいと思うが，削除の方法がもう少し使いやすいものだとより良さそう
2026/01/19 17:12:49,SS05,24,male,コントローラー,ややそう思う,あまりそう思わない,ややそう思う,あまりそう思わない,ややそう思う,あまりそう思わない,とてもそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,直観的で操作しやすかった
2026/01/19 17:23:17,SS05,24,male,キーボード,とてもそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,とてもそう思う,まったくそう思わない,ややそう思う,まったくそう思わない,とてもそう思う,あまりそう思わない,親のような安心感
2026/01/19 21:54:57,HY07,24,male,キーボード,あまりそう思わない,あまりそう思わない,あまりそう思わない,どちらとも言えない,どちらとも言えない,どちらとも言えない,どちらとも言えない,ややそう思う,どちらとも言えない,どちらとも言えない,
2026/01/19 22:19:23,HY07,24,male,提案デバイス,ややそう思う,どちらとも言えない,ややそう思う,どちらとも言えない,どちらとも言えない,どちらとも言えない,どちらとも言えない,どちらとも言えない,どちらとも言えない,どちらとも言えない,
2026/01/19 22:38:00,HY07,24,male,コントローラー,どちらとも言えない,あまりそう思わない,どちらとも言えない,どちらとも言えない,あまりそう思わない,どちらとも言えない,ややそう思う,あまりそう思わない,どちらとも言えない,どちらとも言えない,
