Timestamp,ParticipantID,Condition,Handedness,TrialID,PhraseID,EventType,EventData,ClientTimestamp
2026-01-23T18:33:07.375585+09:00,debug-KM02,Controller,R,1,91,system,test_started,1769160768938
2026-01-23T18:33:07.375609+09:00,debug-KM02,Controller,R,1,91,keydown,"{'key': 'Process', 'code': 'KeyM'}",1769160770683
2026-01-23T18:33:07.375619+09:00,debug-KM02,Controller,R,1,91,prediction_update,{'count': 0},1769160770704
2026-01-23T18:33:07.375626+09:00,debug-KM02,Controller,R,1,91,keydown,"{'key': 'Process', 'code': 'KeyY'}",1769160771354
2026-01-23T18:33:07.375631+09:00,debug-KM02,Controller,R,1,91,prediction_update,{'count': 0},1769160771367
2026-01-23T18:33:07.375637+09:00,debug-KM02,Controller,R,1,91,keydown,"{'key': 'Process', 'code': 'Backspace'}",1769160772295
2026-01-23T18:33:07.375642+09:00,debug-KM02,Controller,R,1,91,prediction_update,{'count': 0},1769160772337
2026-01-23T18:33:07.375647+09:00,debug-KM02,Controller,R,1,91,keydown,"{'key': 'Process', 'code': 'Backquote'}",1769160772875
2026-01-23T18:33:07.375653+09:00,debug-KM02,Controller,R,1,91,prediction_update,{'count': 0},1769160772892
2026-01-23T18:33:07.375658+09:00,debug-KM02,Controller,R,1,91,keydown,"{'key': 'Backspace', 'code': 'Backspace'}",1769160773856
2026-01-23T18:33:07.375663+09:00,debug-KM02,Controller,R,1,91,keydown,"{'key': 'm', 'code': 'KeyM'}",1769160775117
2026-01-23T18:33:07.375669+09:00,debug-KM02,Controller,R,1,91,prediction_update,"{'count': 6, 'top': 'm'}",1769160775181
2026-01-23T18:33:07.375674+09:00,debug-KM02,Controller,R,1,91,keydown,"{'key': 'y', 'code': 'KeyY'}",1769160775756
2026-01-23T18:33:07.375681+09:00,debug-KM02,Controller,R,1,91,prediction_update,"{'count': 10, 'top': 'mm'}",1769160775796
2026-01-23T18:33:07.375686+09:00,debug-KM02,Controller,R,1,91,keydown,"{'key': ' ', 'code': 'Space'}",1769160778742
2026-01-23T18:33:07.375691+09:00,debug-KM02,Controller,R,1,91,nav,"{'direction': 1, 'new_index': 1}",1769160778742
2026-01-23T18:33:07.375696+09:00,debug-KM02,Controller,R,1,91,keydown,"{'key': ' ', 'code': 'Space'}",1769160779242
2026-01-23T18:33:07.375702+09:00,debug-KM02,Controller,R,1,91,nav,"{'direction': 1, 'new_index': 2}",1769160779242
