Timestamp,ParticipantID,Condition,Handedness,TrialID,PhraseID,EventType,EventData,ClientTimestamp
2026-01-18T19:05:25.923634+09:00,debug-MY05,Proposed,R,1,120,system,test_started,1768730704096
2026-01-18T19:05:25.923650+09:00,debug-MY05,Proposed,R,1,120,keydown,"{'key': 'f', 'code': 'KeyF'}",1768730706935
2026-01-18T19:05:25.923658+09:00,debug-MY05,Proposed,R,1,120,prediction_update,"{'count': 6, 'top': 'g'}",1768730706982
2026-01-18T19:05:25.923664+09:00,debug-MY05,Proposed,R,1,120,keydown,"{'key': 'u', 'code': 'KeyU'}",1768730716822
2026-01-18T19:05:25.923669+09:00,debug-MY05,Proposed,R,1,120,prediction_update,"{'count': 10, 'top': 'by'}",1768730716852
2026-01-18T19:05:25.923674+09:00,debug-MY05,Proposed,R,1,120,keydown,"{'key': 'i', 'code': 'KeyI'}",1768730719627
2026-01-18T19:05:25.923678+09:00,debug-MY05,Proposed,R,1,120,prediction_update,"{'count': 10, 'top': 'vui'}",1768730719656
2026-01-18T19:05:25.923683+09:00,debug-MY05,Proposed,R,1,120,keydown,"{'key': 's', 'code': 'KeyS'}",1768730723224
2026-01-18T19:05:25.923688+09:00,debug-MY05,Proposed,R,1,120,prediction_update,"{'count': 10, 'top': 'this'}",1768730723528
2026-01-18T19:05:25.923693+09:00,debug-MY05,Proposed,R,1,120,keydown,"{'key': 'Enter', 'code': 'Enter'}",1768730725913
2026-01-18T19:05:25.923699+09:00,debug-MY05,Proposed,R,1,120,confirm,{'word': 'this'},1768730725913
2026-01-18T19:06:16.854030+09:00,debug-MY05,Proposed,R,1,120,keydown,"{'key': 's', 'code': 'KeyS'}",1768730730290
2026-01-18T19:06:16.854054+09:00,debug-MY05,Proposed,R,1,120,prediction_update,"{'count': 3, 'top': 's'}",1768730730335
2026-01-18T19:06:16.854061+09:00,debug-MY05,Proposed,R,1,120,keydown,"{'key': 'a', 'code': 'KeyA'}",1768730730438
2026-01-18T19:06:16.854067+09:00,debug-MY05,Proposed,R,1,120,prediction_update,"{'count': 9, 'top': 'wa'}",1768730730467
2026-01-18T19:06:16.854073+09:00,debug-MY05,Proposed,R,1,120,keydown,"{'key': 'f', 'code': 'KeyF'}",1768730732147
2026-01-18T19:06:16.854078+09:00,debug-MY05,Proposed,R,1,120,prediction_update,"{'count': 10, 'top': 'war'}",1768730732175
2026-01-18T19:06:16.854083+09:00,debug-MY05,Proposed,R,1,120,keydown,"{'key': 'u', 'code': 'KeyU'}",1768730733154
2026-01-18T19:06:16.854088+09:00,debug-MY05,Proposed,R,1,120,prediction_update,"{'count': 10, 'top': 'warm'}",1768730733188
2026-01-18T19:06:16.854092+09:00,debug-MY05,Proposed,R,1,120,keydown,"{'key': 'Backspace', 'code': 'Backspace'}",1768730738362
2026-01-18T19:06:16.854098+09:00,debug-MY05,Proposed,R,1,120,prediction_update,"{'count': 10, 'top': 'war'}",1768730738411
2026-01-18T19:06:16.854103+09:00,debug-MY05,Proposed,R,1,120,keydown,"{'key': 'Backspace', 'code': 'Backspace'}",1768730745892
2026-01-18T19:06:16.854108+09:00,debug-MY05,Proposed,R,1,120,prediction_update,"{'count': 9, 'top': 'wa'}",1768730745938
2026-01-18T19:06:16.854112+09:00,debug-MY05,Proposed,R,1,120,keydown,"{'key': 'f', 'code': 'KeyF'}",1768730749520
2026-01-18T19:06:16.854117+09:00,debug-MY05,Proposed,R,1,120,prediction_update,"{'count': 10, 'top': 'war'}",1768730749548
2026-01-18T19:06:16.854122+09:00,debug-MY05,Proposed,R,1,120,keydown,"{'key': 'u', 'code': 'KeyU'}",1768730756106
2026-01-18T19:06:16.854126+09:00,debug-MY05,Proposed,R,1,120,prediction_update,"{'count': 10, 'top': 'warm'}",1768730756137
2026-01-18T19:06:16.854131+09:00,debug-MY05,Proposed,R,1,120,keydown,"{'key': 'Backspace', 'code': 'Backspace'}",1768730764357
2026-01-18T19:06:16.854136+09:00,debug-MY05,Proposed,R,1,120,prediction_update,"{'count': 10, 'top': 'war'}",1768730764404
2026-01-18T19:06:16.854141+09:00,debug-MY05,Proposed,R,1,120,keydown,"{'key': 'f', 'code': 'KeyF'}",1768730766590
2026-01-18T19:06:16.854145+09:00,debug-MY05,Proposed,R,1,120,prediction_update,"{'count': 10, 'top': 'satb'}",1768730767034
2026-01-18T19:06:16.854150+09:00,debug-MY05,Proposed,R,1,120,keydown,"{'key': 'Backspace', 'code': 'Backspace'}",1768730769383
