Timestamp,ParticipantID,Condition,Handedness,TrialID,EventType,EventData,ClientTimestamp
2025-12-29T09:04:40.007731,debug,Proposed,R,1,system,test_started,1766998660887
2025-12-29T09:04:40.007752,debug,Proposed,R,1,keydown,"{'key': 'Process', 'code': 'KeyU'}",1766998662313
2025-12-29T09:04:40.007763,debug,Proposed,R,1,prediction_update,{'count': 0},1766998662332
2025-12-29T09:04:40.007767,debug,Proposed,R,1,keydown,"{'key': 'Process', 'code': 'KeyF'}",1766998662565
2025-12-29T09:04:40.007772,debug,Proposed,R,1,prediction_update,{'count': 0},1766998662579
2025-12-29T09:04:40.007775,debug,Proposed,R,1,keydown,"{'key': 'Process', 'code': 'Backspace'}",1766998663726
2025-12-29T09:04:40.007780,debug,Proposed,R,1,prediction_update,{'count': 0},1766998663742
2025-12-29T09:04:40.007784,debug,Proposed,R,1,keydown,"{'key': 'Process', 'code': 'Backspace'}",1766998663947
2025-12-29T09:04:40.007788,debug,Proposed,R,1,keydown,"{'key': 'u', 'code': 'KeyU'}",1766998665051
2025-12-29T09:04:40.007792,debug,Proposed,R,1,prediction_update,"{'count': 6, 'top': 'm'}",1766998665267
2025-12-29T09:04:40.007796,debug,Proposed,R,1,keydown,"{'key': 'u', 'code': 'KeyU'}",1766998665349
2025-12-29T09:04:40.007800,debug,Proposed,R,1,prediction_update,"{'count': 10, 'top': 'mm'}",1766998666632
2025-12-29T09:04:40.007804,debug,Proposed,R,1,keydown,"{'key': ' ', 'code': 'Space'}",1766998668174
2025-12-29T09:04:40.007808,debug,Proposed,R,1,nav,"{'direction': 1, 'new_index': 1}",1766998668174
2025-12-29T09:04:40.007812,debug,Proposed,R,1,keydown,"{'key': ' ', 'code': 'Space'}",1766998668845
2025-12-29T09:04:40.007816,debug,Proposed,R,1,nav,"{'direction': 1, 'new_index': 2}",1766998668845
2025-12-29T09:04:40.007820,debug,Proposed,R,1,keydown,"{'key': ' ', 'code': 'Space'}",1766998669189
2025-12-29T09:04:40.007823,debug,Proposed,R,1,nav,"{'direction': 1, 'new_index': 3}",1766998669189
2025-12-29T09:04:40.007827,debug,Proposed,R,1,keydown,"{'key': 'Enter', 'code': 'Enter'}",1766998670075
2025-12-29T09:04:40.007831,debug,Proposed,R,1,confirm,{'word': 'my'},1766998670075
2025-12-29T09:04:45.922296,debug,Proposed,R,1,keydown,"{'key': 's', 'code': 'KeyS'}",1766998671250
2025-12-29T09:04:45.922325,debug,Proposed,R,1,prediction_update,"{'count': 3, 'top': 's'}",1766998671296
2025-12-29T09:04:45.922331,debug,Proposed,R,1,keydown,"{'key': 'a', 'code': 'KeyA'}",1766998671536
2025-12-29T09:04:45.922336,debug,Proposed,R,1,keydown,"{'key': 'f', 'code': 'KeyF'}",1766998671789
2025-12-29T09:04:45.922340,debug,Proposed,R,1,prediction_update,"{'count': 9, 'top': 'wa'}",1766998671801
2025-12-29T09:04:45.922344,debug,Proposed,R,1,prediction_update,"{'count': 10, 'top': 'war'}",1766998672595
2025-12-29T09:04:45.922349,debug,Proposed,R,1,keydown,"{'key': 'd', 'code': 'KeyD'}",1766998673259
2025-12-29T09:04:45.922353,debug,Proposed,R,1,keydown,"{'key': 'u', 'code': 'KeyU'}",1766998673539
2025-12-29T09:04:45.922357,debug,Proposed,R,1,prediction_update,"{'count': 10, 'top': 'ward'}",1766998674193
2025-12-29T09:04:45.922361,debug,Proposed,R,1,prediction_update,"{'count': 10, 'top': 'watch'}",1766998674382
2025-12-29T09:04:45.922365,debug,Proposed,R,1,keydown,"{'key': 'Enter', 'code': 'Enter'}",1766998675988
2025-12-29T09:04:45.922369,debug,Proposed,R,1,confirm,{'word': 'watch'},1766998675988
2025-12-29T09:04:50.966570,debug,Proposed,R,1,keydown,"{'key': 'f', 'code': 'KeyF'}",1766998676845
2025-12-29T09:04:50.966589,debug,Proposed,R,1,prediction_update,"{'count': 6, 'top': 'g'}",1766998676891
2025-12-29T09:04:50.966595,debug,Proposed,R,1,keydown,"{'key': 'd', 'code': 'KeyD'}",1766998677129
2025-12-29T09:04:50.966599,debug,Proposed,R,1,keydown,"{'key': 'o', 'code': 'KeyO'}",1766998677380
2025-12-29T09:04:50.966603,debug,Proposed,R,1,prediction_update,"{'count': 10, 'top': 'te'}",1766998677446
2025-12-29T09:04:50.966606,debug,Proposed,R,1,keydown,"{'key': 'o', 'code': 'KeyO'}",1766998677589
2025-12-29T09:04:50.966610,debug,Proposed,R,1,prediction_update,"{'count': 10, 'top': 'fel'}",1766998677880
2025-12-29T09:04:50.966614,debug,Proposed,R,1,prediction_update,"{'count': 10, 'top': 'bell'}",1766998678040
2025-12-29T09:04:50.966618,debug,Proposed,R,1,keydown,"{'key': ' ', 'code': 'Space'}",1766998680026
2025-12-29T09:04:50.966621,debug,Proposed,R,1,nav,"{'direction': 1, 'new_index': 1}",1766998680026
2025-12-29T09:04:50.966625,debug,Proposed,R,1,keydown,"{'key': 'Enter', 'code': 'Enter'}",1766998681219
2025-12-29T09:04:50.966629,debug,Proposed,R,1,confirm,{'word': 'fell'},1766998681219
2025-12-29T09:04:53.116501,debug,Proposed,R,1,keydown,"{'key': 'i', 'code': 'KeyI'}",1766998681939
2025-12-29T09:04:53.116521,debug,Proposed,R,1,prediction_update,"{'count': 2, 'top': 'i'}",1766998681972
2025-12-29T09:04:53.116526,debug,Proposed,R,1,keydown,"{'key': 'u', 'code': 'KeyU'}",1766998682165
2025-12-29T09:04:53.116530,debug,Proposed,R,1,prediction_update,"{'count': 10, 'top': 'in'}",1766998682366
2025-12-29T09:04:53.116534,debug,Proposed,R,1,keydown,"{'key': 'Enter', 'code': 'Enter'}",1766998683560
2025-12-29T09:04:53.116538,debug,Proposed,R,1,confirm,{'word': 'in'},1766998683560
2025-12-29T09:05:01.292070,debug,Proposed,R,1,keydown,"{'key': 'f', 'code': 'KeyF'}",1766998684329
2025-12-29T09:05:01.292108,debug,Proposed,R,1,prediction_update,"{'count': 6, 'top': 'g'}",1766998684346
2025-12-29T09:05:01.292114,debug,Proposed,R,1,keydown,"{'key': 'u', 'code': 'KeyU'}",1766998684460
2025-12-29T09:05:01.292119,debug,Proposed,R,1,keydown,"{'key': 'd', 'code': 'KeyD'}",1766998684764
2025-12-29T09:05:01.292123,debug,Proposed,R,1,prediction_update,"{'count': 10, 'top': 'by'}",1766998684857
2025-12-29T09:05:01.292128,debug,Proposed,R,1,prediction_update,"{'count': 10, 'top': 'the'}",1766998685473
2025-12-29T09:05:01.292132,debug,Proposed,R,1,keydown,"{'key': ' ', 'code': 'Space'}",1766998687012
2025-12-29T09:05:01.292136,debug,Proposed,R,1,nav,"{'direction': 1, 'new_index': 1}",1766998687012
2025-12-29T09:05:01.292140,debug,Proposed,R,1,keydown,"{'key': ' ', 'code': 'Space'}",1766998688721
2025-12-29T09:05:01.292145,debug,Proposed,R,1,nav,"{'direction': 1, 'new_index': 2}",1766998688721
2025-12-29T09:05:01.292148,debug,Proposed,R,1,keydown,"{'key': ' ', 'code': 'Space'}",1766998688930
2025-12-29T09:05:01.292152,debug,Proposed,R,1,nav,"{'direction': 1, 'new_index': 3}",1766998688930
2025-12-29T09:05:01.292156,debug,Proposed,R,1,keydown,"{'key': ' ', 'code': 'Space'}",1766998689125
2025-12-29T09:05:01.292160,debug,Proposed,R,1,nav,"{'direction': 1, 'new_index': 4}",1766998689125
2025-12-29T09:05:01.292163,debug,Proposed,R,1,keydown,"{'key': ' ', 'code': 'Space'}",1766998689290
2025-12-29T09:05:01.292167,debug,Proposed,R,1,nav,"{'direction': 1, 'new_index': 5}",1766998689290
2025-12-29T09:05:01.292170,debug,Proposed,R,1,keydown,"{'key': ' ', 'code': 'Space'}",1766998689484
2025-12-29T09:05:01.292174,debug,Proposed,R,1,nav,"{'direction': 1, 'new_index': 6}",1766998689484
2025-12-29T09:05:01.292182,debug,Proposed,R,1,keydown,"{'key': ' ', 'code': 'Space'}",1766998689710
2025-12-29T09:05:01.292186,debug,Proposed,R,1,nav,"{'direction': 1, 'new_index': 7}",1766998689710
2025-12-29T09:05:01.292190,debug,Proposed,R,1,keydown,"{'key': ' ', 'code': 'Space'}",1766998689920
2025-12-29T09:05:01.292193,debug,Proposed,R,1,nav,"{'direction': 1, 'new_index': 8}",1766998689920
2025-12-29T09:05:01.292197,debug,Proposed,R,1,keydown,"{'key': ' ', 'code': 'Space'}",1766998690190
