Timestamp,ParticipantID,Condition,Handedness,TrialID,PhraseID,EventType,EventData,ClientTimestamp
2026-01-22T16:24:52.008234+09:00,MK08,Proposed,L,1,231,system,test_started,1769066688328
2026-01-22T16:24:52.008250+09:00,MK08,Proposed,L,1,231,keydown,"{'key': 'a', 'code': 'KeyA'}",1769066690923
2026-01-22T16:24:52.008258+09:00,MK08,Proposed,L,1,231,prediction_update,"{'count': 3, 'top': 'a'}",1769066690980
2026-01-22T16:24:52.008264+09:00,MK08,Proposed,L,1,231,keydown,"{'key': 'Enter', 'code': 'Enter'}",1769066692021
2026-01-22T16:24:52.008269+09:00,MK08,Proposed,L,1,231,confirm,{'word': 'a'},1769066692021
2026-01-22T16:25:02.449441+09:00,MK08,Proposed,L,1,231,keydown,"{'key': 'o', 'code': 'KeyO'}",1769066694497
2026-01-22T16:25:02.449473+09:00,MK08,Proposed,L,1,231,prediction_update,"{'count': 2, 'top': 'o'}",1769066694562
2026-01-22T16:25:02.449481+09:00,MK08,Proposed,L,1,231,keydown,"{'key': 'o', 'code': 'KeyO'}",1769066694659
2026-01-22T16:25:02.449488+09:00,MK08,Proposed,L,1,231,prediction_update,"{'count': 4, 'top': 'oo'}",1769066694695
2026-01-22T16:25:02.449494+09:00,MK08,Proposed,L,1,231,keydown,"{'key': 'Backspace', 'code': 'Backspace'}",1769066695634
2026-01-22T16:25:02.449501+09:00,MK08,Proposed,L,1,231,prediction_update,"{'count': 2, 'top': 'o'}",1769066695695
2026-01-22T16:25:02.449507+09:00,MK08,Proposed,L,1,231,keydown,"{'key': 'i', 'code': 'KeyI'}",1769066696819
2026-01-22T16:25:02.449512+09:00,MK08,Proposed,L,1,231,prediction_update,"{'count': 4, 'top': 'ok'}",1769066696857
2026-01-22T16:25:02.449518+09:00,MK08,Proposed,L,1,231,keydown,"{'key': 'f', 'code': 'KeyF'}",1769066698437
2026-01-22T16:25:02.449523+09:00,MK08,Proposed,L,1,231,keydown,"{'key': 'f', 'code': 'KeyF'}",1769066698587
2026-01-22T16:25:02.449528+09:00,MK08,Proposed,L,1,231,prediction_update,"{'count': 10, 'top': 'liv'}",1769066698888
2026-01-22T16:25:02.449534+09:00,MK08,Proposed,L,1,231,prediction_update,"{'count': 10, 'top': 'lift'}",1769066698985
2026-01-22T16:25:02.449539+09:00,MK08,Proposed,L,1,231,keydown,"{'key': 'o', 'code': 'KeyO'}",1769066700179
2026-01-22T16:25:02.449545+09:00,MK08,Proposed,L,1,231,prediction_update,"{'count': 10, 'top': 'libro'}",1769066700296
2026-01-22T16:25:02.449550+09:00,MK08,Proposed,L,1,231,keydown,"{'key': 'd', 'code': 'KeyD'}",1769066701408
2026-01-22T16:25:02.449555+09:00,MK08,Proposed,L,1,231,prediction_update,"{'count': 10, 'top': 'little'}",1769066701480
2026-01-22T16:25:02.449560+09:00,MK08,Proposed,L,1,231,keydown,"{'key': 'Enter', 'code': 'Enter'}",1769066702431
2026-01-22T16:25:02.449566+09:00,MK08,Proposed,L,1,231,confirm,{'word': 'little'},1769066702431
2026-01-22T16:25:30.853985+09:00,MK08,Proposed,L,1,231,keydown,"{'key': 'd', 'code': 'KeyD'}",1769066704575
2026-01-22T16:25:30.854012+09:00,MK08,Proposed,L,1,231,prediction_update,"{'count': 3, 'top': 'c'}",1769066704632
2026-01-22T16:25:30.854019+09:00,MK08,Proposed,L,1,231,keydown,"{'key': 'u', 'code': 'KeyU'}",1769066706090
2026-01-22T16:25:30.854026+09:00,MK08,Proposed,L,1,231,prediction_update,"{'count': 10, 'top': 'du'}",1769066706625
2026-01-22T16:25:30.854032+09:00,MK08,Proposed,L,1,231,keydown,"{'key': 'd', 'code': 'KeyD'}",1769066708052
2026-01-22T16:25:30.854036+09:00,MK08,Proposed,L,1,231,prediction_update,"{'count': 10, 'top': 'end'}",1769066708725
2026-01-22T16:25:30.854041+09:00,MK08,Proposed,L,1,231,keydown,"{'key': 'o', 'code': 'KeyO'}",1769066709060
2026-01-22T16:25:30.854046+09:00,MK08,Proposed,L,1,231,prediction_update,"{'count': 10, 'top': 'duel'}",1769066709508
