Timestamp,ParticipantID,Condition,Handedness,TrialID,PhraseID,EventType,EventData,ClientTimestamp
2026-01-18T19:53:18.246434+09:00,MY05,Controller,R,1,20,system,test_started,1768733585506
2026-01-18T19:53:18.246458+09:00,MY05,Controller,R,1,20,keydown,"{'key': 'p', 'code': 'KeyP'}",1768733588783
2026-01-18T19:53:18.246468+09:00,MY05,Controller,R,1,20,prediction_update,"{'count': 1, 'top': 'p'}",1768733588830
2026-01-18T19:53:18.246474+09:00,MY05,Controller,R,1,20,keydown,"{'key': 'r', 'code': 'KeyR'}",1768733589616
2026-01-18T19:53:18.246479+09:00,MY05,Controller,R,1,20,prediction_update,"{'count': 6, 'top': 'pg'}",1768733589645
2026-01-18T19:53:18.246485+09:00,MY05,Controller,R,1,20,keydown,"{'key': 'a', 'code': 'KeyA'}",1768733590283
2026-01-18T19:53:18.246490+09:00,MY05,Controller,R,1,20,prediction_update,"{'count': 10, 'top': 'pra'}",1768733590371
2026-01-18T19:53:18.246496+09:00,MY05,Controller,R,1,20,keydown,"{'key': 'y', 'code': 'KeyY'}",1768733590977
2026-01-18T19:53:18.246501+09:00,MY05,Controller,R,1,20,prediction_update,"{'count': 10, 'top': 'pray'}",1768733591179
2026-01-18T19:53:18.246507+09:00,MY05,Controller,R,1,20,keydown,"{'key': 'e', 'code': 'KeyE'}",1768733592395
2026-01-18T19:53:18.246512+09:00,MY05,Controller,R,1,20,prediction_update,"{'count': 10, 'top': 'prane'}",1768733592442
2026-01-18T19:53:18.246517+09:00,MY05,Controller,R,1,20,keydown,"{'key': 'e', 'code': 'KeyE'}",1768733593201
2026-01-18T19:53:18.246522+09:00,MY05,Controller,R,1,20,prediction_update,"{'count': 10, 'top': 'prayed'}",1768733593287
2026-01-18T19:53:18.246527+09:00,MY05,Controller,R,1,20,keydown,"{'key': 'Backspace', 'code': 'Backspace'}",1768733595936
2026-01-18T19:53:18.246533+09:00,MY05,Controller,R,1,20,prediction_update,"{'count': 10, 'top': 'prane'}",1768733595986
2026-01-18T19:53:18.246538+09:00,MY05,Controller,R,1,20,keydown,"{'key': 'r', 'code': 'KeyR'}",1768733596895
2026-01-18T19:53:18.246543+09:00,MY05,Controller,R,1,20,prediction_update,"{'count': 10, 'top': 'prayer'}",1768733596942
2026-01-18T19:53:18.246548+09:00,MY05,Controller,R,1,20,keydown,"{'key': 'Enter', 'code': 'Enter'}",1768733598242
2026-01-18T19:53:18.246553+09:00,MY05,Controller,R,1,20,confirm,{'word': 'prayer'},1768733598242
