Timestamp,ParticipantID,Condition,Handedness,TrialID,EventType,EventData,ClientTimestamp
2026-01-05T11:47:44.956994,debug-p01,Keyboard,R,1,system,test_started,1767613186083
2026-01-05T11:47:44.957107,debug-p01,Keyboard,R,1,keydown,"{'key': 'u', 'code': 'KeyU'}",1767613201674
2026-01-05T11:47:44.957204,debug-p01,Keyboard,R,1,prediction_update,"{'count': 6, 'top': 'm'}",1767613201700
2026-01-05T11:47:44.957214,debug-p01,Keyboard,R,1,keydown,"{'key': 'u', 'code': 'KeyU'}",1767613201776
2026-01-05T11:47:44.957219,debug-p01,Keyboard,R,1,prediction_update,"{'count': 10, 'top': 'mm'}",1767613201802
2026-01-05T11:47:44.957224,debug-p01,Keyboard,R,1,keydown,"{'key': 's', 'code': 'KeyS'}",1767613201991
2026-01-05T11:47:44.957228,debug-p01,Keyboard,R,1,prediction_update,"{'count': 10, 'top': 'uns'}",1767613202193
2026-01-05T11:47:44.957231,debug-p01,Keyboard,R,1,keydown,"{'key': 'a', 'code': 'KeyA'}",1767613203460
2026-01-05T11:47:44.957235,debug-p01,Keyboard,R,1,prediction_update,"{'count': 10, 'top': 'husa'}",1767613203552
2026-01-05T11:47:44.957239,debug-p01,Keyboard,R,1,keydown,"{'key': 'f', 'code': 'KeyF'}",1767613206808
2026-01-05T11:47:44.957243,debug-p01,Keyboard,R,1,prediction_update,"{'count': 10, 'top': 'musar'}",1767613206985
2026-01-05T11:47:44.957247,debug-p01,Keyboard,R,1,keydown,"{'key': 'd', 'code': 'KeyD'}",1767613210063
2026-01-05T11:47:44.957251,debug-p01,Keyboard,R,1,keydown,"{'key': 'u', 'code': 'KeyU'}",1767613210207
2026-01-05T11:47:44.957255,debug-p01,Keyboard,R,1,prediction_update,"{'count': 10, 'top': 'unsafe'}",1767613210411
2026-01-05T11:47:44.957258,debug-p01,Keyboard,R,1,prediction_update,"{'count': 10, 'top': 'muwaten'}",1767613211161
2026-01-05T11:47:44.957263,debug-p01,Keyboard,R,1,keydown,"{'key': ' ', 'code': 'Space'}",1767613213688
2026-01-05T11:47:44.957267,debug-p01,Keyboard,R,1,nav,"{'direction': 1, 'new_index': 1}",1767613213688
2026-01-05T11:47:44.957278,debug-p01,Keyboard,R,1,keydown,"{'key': ' ', 'code': 'Space'}",1767613213821
2026-01-05T11:47:44.957282,debug-p01,Keyboard,R,1,nav,"{'direction': 1, 'new_index': 2}",1767613213821
2026-01-05T11:47:44.957285,debug-p01,Keyboard,R,1,keydown,"{'key': ' ', 'code': 'Space'}",1767613214002
2026-01-05T11:47:44.957289,debug-p01,Keyboard,R,1,nav,"{'direction': 1, 'new_index': 3}",1767613214002
2026-01-05T11:47:44.957293,debug-p01,Keyboard,R,1,keydown,"{'key': ' ', 'code': 'Space'}",1767613214196
2026-01-05T11:47:44.957296,debug-p01,Keyboard,R,1,nav,"{'direction': 1, 'new_index': 4}",1767613214196
2026-01-05T11:47:44.957300,debug-p01,Keyboard,R,1,keydown,"{'key': ' ', 'code': 'Space'}",1767613214346
2026-01-05T11:47:44.957303,debug-p01,Keyboard,R,1,nav,"{'direction': 1, 'new_index': 5}",1767613214346
2026-01-05T11:47:44.957307,debug-p01,Keyboard,R,1,keydown,"{'key': ' ', 'code': 'Space'}",1767613214511
2026-01-05T11:47:44.957311,debug-p01,Keyboard,R,1,nav,"{'direction': 1, 'new_index': 6}",1767613214511
2026-01-05T11:47:44.957314,debug-p01,Keyboard,R,1,keydown,"{'key': 'Backspace', 'code': 'Backspace'}",1767613215952
2026-01-05T11:47:44.957318,debug-p01,Keyboard,R,1,prediction_update,"{'count': 10, 'top': 'unsafe'}",1767613215980
2026-01-05T11:47:44.957323,debug-p01,Keyboard,R,1,keydown,"{'key': 'Backspace', 'code': 'Backspace'}",1767613216132
2026-01-05T11:47:44.957327,debug-p01,Keyboard,R,1,prediction_update,"{'count': 10, 'top': 'musar'}",1767613216155
2026-01-05T11:47:44.957331,debug-p01,Keyboard,R,1,keydown,"{'key': 'Backspace', 'code': 'Backspace'}",1767613216311
2026-01-05T11:47:44.957335,debug-p01,Keyboard,R,1,prediction_update,"{'count': 10, 'top': 'husa'}",1767613216334
2026-01-05T11:47:44.957339,debug-p01,Keyboard,R,1,keydown,"{'key': 'Backspace', 'code': 'Backspace'}",1767613216507
2026-01-05T11:47:44.957343,debug-p01,Keyboard,R,1,prediction_update,"{'count': 10, 'top': 'uns'}",1767613216529
2026-01-05T11:47:44.957348,debug-p01,Keyboard,R,1,keydown,"{'key': 'Backspace', 'code': 'Backspace'}",1767613216657
2026-01-05T11:47:44.957351,debug-p01,Keyboard,R,1,prediction_update,"{'count': 10, 'top': 'mm'}",1767613216680
2026-01-05T11:47:44.957355,debug-p01,Keyboard,R,1,keydown,"{'key': 'Backspace', 'code': 'Backspace'}",1767613216836
2026-01-05T11:47:44.957359,debug-p01,Keyboard,R,1,prediction_update,"{'count': 6, 'top': 'm'}",1767613216862
2026-01-05T11:47:44.957363,debug-p01,Keyboard,R,1,keydown,"{'key': 'Backspace', 'code': 'Backspace'}",1767613217003
2026-01-05T11:47:44.957367,debug-p01,Keyboard,R,1,keydown,"{'key': 'u', 'code': 'KeyU'}",1767613219764
