Timestamp,ParticipantID,Condition,Handedness,TrialID,TargetPhrase,InputPhrase,CompletionTime,CharCount,WPM,ErrorDist,BackspaceCount
2026-01-04T14:59:57.183214,AM04,Proposed,R,1,my watch fell in the water,my watch fell in the water,135.108,26,2.31,0,0
2026-01-04T15:02:17.787875,AM04,Proposed,R,2,prevailing wind from the east,prevailing wind from the east,138.745,29,2.51,0,0
2026-01-04T15:03:31.475099,AM04,Proposed,R,3,never too rich and never too thin,never too rich and never too thin,71.665,33,5.53,0,0
2026-01-04T15:04:34.874858,AM04,Proposed,R,4,breathing is difficult,breathing is difficult,61.545,22,4.29,0,0
2026-01-04T15:06:01.352622,AM04,Proposed,R,5,I can see the rings on Saturn,i can see the rings on saturn,84.605,29,4.11,2,0
2026-01-04T15:07:52.098501,AM04,Proposed,R,6,physics and chemistry are hard,physics and chemistry are hard,108.714,30,3.31,0,0
2026-01-04T15:08:57.985109,AM04,Proposed,R,7,my bank account is overdrawn,my bank account is overdrawn,64.021,28,5.25,0,0
2026-01-04T15:09:35.639427,AM04,Proposed,R,8,elections bring out the best,elections bring out the best,33.063,28,10.16,0,0
2026-01-04T15:10:08.649324,AM04,Proposed,R,9,we are having spaghetti,we are having spaghetti,31.154,23,8.86,0,0
2026-01-04T15:10:33.397391,AM04,Proposed,R,10,time to go shopping,time to go shopping,22.891,19,9.96,0,0
2026-01-04T15:10:54.318624,AM04,Proposed,R,11,a problem with the engine,a problem with the engine,19.062,25,15.74,0,0
2026-01-04T15:11:31.364234,AM04,Proposed,R,12,elephants are afraid of mice,elephants are afraid of mice,35.017,28,9.60,0,0
2026-01-04T15:11:55.468149,AM04,Proposed,R,13,my favorite place to visit,my favorite place to visit,22.069,26,14.14,0,0
2026-01-04T15:12:24.069634,AM04,Proposed,R,14,three two one zero blast off,three two one zero blast off,26.565,28,12.65,0,0
2026-01-04T15:12:44.590771,AM04,Proposed,R,15,my favorite subject is psychology,my favorite subject is psychology,18.492,33,21.42,0,0
2026-01-04T15:13:16.160261,AM04,Proposed,R,16,circumstances are unacceptable,circumstances are unacceptable,29.532,30,12.19,0,0
2026-01-04T15:13:40.793844,AM04,Proposed,R,17,watch out for low flying objects,watch out for low flying objects,22.774,32,16.86,0,0
2026-01-04T15:14:11.477848,AM04,Proposed,R,18,if at first you do not succeed,if at first you do not succeed,28.822,30,12.49,0,0
2026-01-04T15:14:44.662526,AM04,Proposed,R,19,please provide your date of birth,please provide your date of birth,31.325,33,12.64,0,0
2026-01-04T15:15:15.293380,AM04,Proposed,R,20,we run the risk of failure,we run the risk of failure,28.769,26,10.84,0,0
