Timestamp,ParticipantID,Condition,Handedness,TrialID,EventType,EventData,ClientTimestamp
2026-01-04T14:58:06.544351,AM04,Proposed,R,1,system,test_started,1767538248611
2026-01-04T14:58:06.544371,AM04,Proposed,R,1,keydown,"{'key': 'o', 'code': 'KeyO'}",1767538251041
2026-01-04T14:58:06.544380,AM04,Proposed,R,1,prediction_update,"{'count': 2, 'top': 'o'}",1767538251065
2026-01-04T14:58:06.544386,AM04,Proposed,R,1,keydown,"{'key': 'u', 'code': 'KeyU'}",1767538251357
2026-01-04T14:58:06.544391,AM04,Proposed,R,1,prediction_update,"{'count': 10, 'top': 'on'}",1767538251374
2026-01-04T14:58:06.544396,AM04,Proposed,R,1,keydown,"{'key': ' ', 'code': 'Space'}",1767538256848
2026-01-04T14:58:06.544400,AM04,Proposed,R,1,nav,"{'direction': 1, 'new_index': 1}",1767538256848
2026-01-04T14:58:06.544405,AM04,Proposed,R,1,keydown,"{'key': ' ', 'code': 'Space'}",1767538257206
2026-01-04T14:58:06.544409,AM04,Proposed,R,1,nav,"{'direction': 1, 'new_index': 2}",1767538257206
2026-01-04T14:58:06.544413,AM04,Proposed,R,1,keydown,"{'key': ' ', 'code': 'Space'}",1767538260433
2026-01-04T14:58:06.544418,AM04,Proposed,R,1,nav,"{'direction': 1, 'new_index': 3}",1767538260433
2026-01-04T14:58:06.544422,AM04,Proposed,R,1,keydown,"{'key': 'Backspace', 'code': 'Backspace'}",1767538260956
2026-01-04T14:58:06.544427,AM04,Proposed,R,1,prediction_update,"{'count': 2, 'top': 'o'}",1767538260981
2026-01-04T14:58:06.544431,AM04,Proposed,R,1,keydown,"{'key': 'Backspace', 'code': 'Backspace'}",1767538261226
2026-01-04T14:58:06.544436,AM04,Proposed,R,1,keydown,"{'key': 'o', 'code': 'KeyO'}",1767538262876
2026-01-04T14:58:06.544440,AM04,Proposed,R,1,prediction_update,"{'count': 2, 'top': 'o'}",1767538262899
2026-01-04T14:58:06.544444,AM04,Proposed,R,1,keydown,"{'key': 'u', 'code': 'KeyU'}",1767538263101
2026-01-04T14:58:06.544449,AM04,Proposed,R,1,prediction_update,"{'count': 10, 'top': 'on'}",1767538263121
2026-01-04T14:58:06.544454,AM04,Proposed,R,1,keydown,"{'key': 'Backspace', 'code': 'Backspace'}",1767538269210
2026-01-04T14:58:06.544458,AM04,Proposed,R,1,prediction_update,"{'count': 2, 'top': 'o'}",1767538269231
2026-01-04T14:58:06.544462,AM04,Proposed,R,1,keydown,"{'key': 'Backspace', 'code': 'Backspace'}",1767538269506
2026-01-04T14:58:06.544466,AM04,Proposed,R,1,keydown,"{'key': 'i', 'code': 'KeyI'}",1767538270211
2026-01-04T14:58:06.544470,AM04,Proposed,R,1,prediction_update,"{'count': 2, 'top': 'i'}",1767538270233
2026-01-04T14:58:06.544474,AM04,Proposed,R,1,keydown,"{'key': 'u', 'code': 'KeyU'}",1767538270421
2026-01-04T14:58:06.544478,AM04,Proposed,R,1,prediction_update,"{'count': 10, 'top': 'in'}",1767538270437
2026-01-04T14:58:06.544483,AM04,Proposed,R,1,keydown,"{'key': ' ', 'code': 'Space'}",1767538271742
2026-01-04T14:58:06.544487,AM04,Proposed,R,1,nav,"{'direction': 1, 'new_index': 1}",1767538271742
2026-01-04T14:58:06.544490,AM04,Proposed,R,1,keydown,"{'key': ' ', 'code': 'Space'}",1767538272026
2026-01-04T14:58:06.544494,AM04,Proposed,R,1,nav,"{'direction': 1, 'new_index': 2}",1767538272026
2026-01-04T14:58:06.544498,AM04,Proposed,R,1,keydown,"{'key': 'Enter', 'code': 'Enter'}",1767538273075
2026-01-04T14:58:06.544502,AM04,Proposed,R,1,confirm,{'word': 'kn'},1767538273075
2026-01-04T14:58:09.161546,AM04,Proposed,R,1,keydown,"{'key': 'Enter', 'code': 'Enter'}",1767538274726
2026-01-04T14:58:09.161571,AM04,Proposed,R,1,keydown,"{'key': 'Backspace', 'code': 'Backspace'}",1767538275671
2026-01-04T14:58:09.161578,AM04,Proposed,R,1,undo,{'removed_word': 'kn'},1767538275671
2026-01-04T14:58:25.328413,AM04,Proposed,R,1,keydown,"{'key': 'o', 'code': 'KeyO'}",1767538276901
2026-01-04T14:58:25.328431,AM04,Proposed,R,1,prediction_update,"{'count': 2, 'top': 'o'}",1767538276924
2026-01-04T14:58:25.328437,AM04,Proposed,R,1,keydown,"{'key': 'u', 'code': 'KeyU'}",1767538279274
2026-01-04T14:58:25.328441,AM04,Proposed,R,1,prediction_update,"{'count': 10, 'top': 'on'}",1767538279290
2026-01-04T14:58:25.328445,AM04,Proposed,R,1,keydown,"{'key': ' ', 'code': 'Space'}",1767538284134
2026-01-04T14:58:25.328449,AM04,Proposed,R,1,nav,"{'direction': 1, 'new_index': 1}",1767538284134
2026-01-04T14:58:25.328453,AM04,Proposed,R,1,keydown,"{'key': ' ', 'code': 'Space'}",1767538284431
2026-01-04T14:58:25.328456,AM04,Proposed,R,1,nav,"{'direction': 1, 'new_index': 2}",1767538284431
2026-01-04T14:58:25.328460,AM04,Proposed,R,1,keydown,"{'key': ' ', 'code': 'Space'}",1767538284642
2026-01-04T14:58:25.328464,AM04,Proposed,R,1,nav,"{'direction': 1, 'new_index': 3}",1767538284642
