Timestamp,ParticipantID,Condition,Handedness,TrialID,TargetPhrase,InputPhrase,CompletionTime,CharCount,WPM,ErrorDist,BackspaceCount
2026-01-05T18:22:24.968452,HY07,Keyboard,R,1,my watch fell in the water,my watch fell in the water,16.909,26,18.45,0,0
2026-01-05T18:22:43.472919,HY07,Keyboard,R,2,prevailing wind from the east,prevailing wind from the east,16.650,29,20.90,0,0
2026-01-05T18:23:03.812493,HY07,Keyboard,R,3,never too rich and never too thin,never too rich and never too thin,15.739,33,25.16,0,0
2026-01-05T18:23:20.137349,HY07,Keyboard,R,4,breathing is difficult,breathing is difficult,14.304,22,18.46,0,0
2026-01-05T18:23:38.863237,HY07,Keyboard,R,5,I can see the rings on Saturn,i can see the rings on saturn,16.690,29,20.85,2,0
2026-01-05T18:23:54.331467,HY07,Keyboard,R,6,physics and chemistry are hard,physics and chemistry are hard,13.487,30,26.69,0,0
2026-01-05T18:24:14.695168,HY07,Keyboard,R,7,my bank account is overdrawn,my bank account is overdrawn,18.350,28,18.31,0,0
2026-01-05T18:24:28.225436,HY07,Keyboard,R,8,elections bring out the best,elections bring out the best,11.659,28,28.82,0,0
2026-01-05T18:24:40.113103,HY07,Keyboard,R,9,we are having spaghetti,we are having spaghetti,9.875,23,27.95,0,0
2026-01-05T18:24:49.783320,HY07,Keyboard,R,10,time to go shopping,time to go shopping,7.806,19,29.21,0,0
2026-01-05T18:25:03.445724,HY07,Keyboard,R,11,a problem with the engine,a problem with the engine,10.537,25,28.47,0,0
2026-01-05T18:18:27.828172,HY07,Keyboard,R,12,elephants are afraid of mice,elephants are afraid of mice,-397.662,28,0.00,0,0
2026-01-05T18:25:34.321426,HY07,Keyboard,R,13,my favorite place to visit,my favorite place to visit,10.481,26,29.77,0,0
2026-01-05T18:25:51.146966,HY07,Keyboard,R,14,three two one zero blast off,three two one zero blast off,14.973,28,22.44,0,0
2026-01-05T18:26:09.113435,HY07,Keyboard,R,15,my favorite subject is psychology,my favorite subject is psychology,13.372,33,29.61,0,0
2026-01-05T18:26:28.980297,HY07,Keyboard,R,16,circumstances are unacceptable,circumstances are unacceptable,17.999,30,20.00,0,0
2026-01-05T18:26:43.436411,HY07,Keyboard,R,17,watch out for low flying objects,watch out for low flying objects,12.599,32,30.48,0,0
2026-01-05T18:27:01.028698,HY07,Keyboard,R,18,if at first you do not succeed,if at first you do not succeed,15.727,30,22.89,0,0
2026-01-05T18:27:18.288133,HY07,Keyboard,R,19,please provide your date of birth,please provide your date of birth,15.393,33,25.73,0,0
2026-01-05T18:27:34.614576,HY07,Keyboard,R,20,we run the risk of failure,we run the risk of failure,14.474,26,21.56,0,0
